source_catg,target_catg,delta_times
21909,21674,3.0
21809,21686,1.0
21787,21688,5.0
21836,21911,1.0
21899,21635,19.0
21635,21922,1.0
21798,21862,1.0
21914,21688,28.0
21753,21940,51.0
21753,21711,4.0
21711,21667,1.0
21940,21921,1.0
21752,21841,1.0
21907,21641,2.0
21641,21638,1.0
21733,21835,2.0
21890,21630,2.0
21848,21713,2.0
21914,21705,1.0
21688,21888,5.0
21888,21812,1.0
21812,21888,1.0
21737,21944,18.0
21898,21770,1.0
21772,21640,1.0
21609,21779,41.0
21738,21708,1.0
21879,21688,4.0
21918,21914,12.0
21931,21739,1.0
21879,21609,3.0
21933,21791,5.0
21791,21659,1.0
21678,21739,5.0
21739,21715,2.0
21715,21635,5.0
21635,21662,1.0
21763,21666,10.0
21836,21629,2.0
21629,21688,3.0
21763,21933,2.0
21791,21862,1.0
21753,21718,5.0
21718,21933,5.0
21933,21879,15.0
21933,21836,19.0
21787,21730,1.0
21862,21798,3.0
21635,21944,39.0
21770,21635,8.0
21933,21798,6.0
21609,21638,1.0
21933,21740,6.0
21752,21811,1.0
21811,21933,43.0
21739,21645,11.0
21739,21815,8.0
21914,21630,2.0
21914,21934,6.0
21739,21783,8.0
21752,21934,12.0
21934,21874,2.0
21757,21820,2.0
21842,21764,1.0
21635,21720,27.0
21738,21678,2.0
21774,21752,2.0
21823,21678,2.0
21823,21841,1.0
21676,21674,1.0
21674,21934,1.0
21710,21914,3.0
21638,21914,4.0
21710,21640,1.0
21640,21710,1.0
21846,21770,1.0
21710,21741,2.0
21609,21933,41.0
21769,21739,1.0
21710,21784,3.0
21784,21739,2.0
21886,21753,36.0
21933,21709,5.0
21748,21678,8.0
21642,21678,5.0
21905,21886,6.0
21647,21905,11.0
21905,21940,3.0
21940,21919,6.0
21621,21905,2.0
21905,21647,3.0
21647,21621,3.0
21621,21836,2.0
21940,21905,3.0
21709,21621,2.0
21905,21621,4.0
21621,21647,2.0
21621,21638,1.0
21647,21919,5.0
21817,21647,1.0
21647,21914,1.0
21919,21647,2.0
21783,21918,10.0
21659,21783,1.0
21752,21918,3.0
21918,21836,8.0
21898,21653,2.0
21635,21727,37.0
21609,21862,8.0
21723,21635,5.0
21891,21879,2.0
21944,21776,9.0
21809,21835,1.0
21718,21757,1.0
21630,21763,3.0
21642,21934,4.0
21688,21823,1.0
21811,21645,5.0
21645,21642,4.0
21730,21642,2.0
21933,21730,12.0
21645,21936,1.0
21936,21730,1.0
21642,21730,1.0
21914,21899,2.0
21806,21753,12.0
21857,21922,1.0
21642,21688,7.0
21815,21635,18.0
21765,21798,2.0
21798,21842,1.0
21842,21765,3.0
21765,21635,4.0
21635,21778,5.0
21778,21752,2.0
21601,21871,1.0
21758,21820,11.0
21738,21934,2.0
21944,21890,4.0
21783,21779,2.0
21752,21739,1.0
21739,21905,2.0
21609,21748,10.0
21886,21914,27.0
21933,21922,3.0
21933,21899,11.0
21899,21666,5.0
21748,21687,1.0
21871,21847,1.0
21886,21779,10.0
21779,21769,4.0
21697,21934,2.0
21697,21798,6.0
21798,21697,2.0
21697,21871,1.0
21842,21809,1.0
21772,21793,4.0
21772,21666,2.0
21753,21674,1.0
21898,21779,32.0
21869,21898,1.0
21654,21898,2.0
21815,21842,3.0
21840,21609,16.0
21779,21619,1.0
21607,21609,2.0
21840,21678,1.0
21678,21609,58.0
21678,21898,55.0
21898,21625,1.0
21688,21842,16.0
21892,21842,3.0
21933,21885,1.0
21823,21609,3.0
21645,21739,17.0
21798,21909,3.0
21739,21798,2.0
21798,21772,1.0
21797,21862,1.0
21667,21835,2.0
21621,21786,1.0
21723,21739,2.0
21621,21748,3.0
21670,21934,3.0
21635,21874,1.0
21891,21637,1.0
21857,21739,13.0
21913,21879,1.0
21879,21835,3.0
21668,21675,1.0
21763,21637,1.0
21635,21620,6.0
21739,21620,2.0
21890,21739,2.0
21739,21934,14.0
21739,21820,4.0
21798,21720,1.0
21720,21666,2.0
21688,21666,9.0
21934,21783,2.0
21666,21635,12.0
21737,21681,5.0
21798,21713,1.0
21713,21748,2.0
21666,21840,2.0
21666,21815,5.0
21899,21914,3.0
21686,21666,7.0
21666,21918,5.0
21820,21783,16.0
21817,21695,1.0
21944,21630,6.0
21851,21688,1.0
21815,21886,8.0
21635,21887,3.0
21842,21887,1.0
21753,21793,10.0
21678,21638,8.0
21922,21820,2.0
21820,21922,1.0
21922,21914,2.0
21918,21753,63.0
21776,21783,1.0
21896,21753,13.0
21896,21748,2.0
21748,21753,7.0
21753,21913,8.0
21710,21933,11.0
21933,21931,3.0
21931,21783,7.0
21783,21752,2.0
21752,21678,1.0
21640,21739,1.0
21820,21817,1.0
21817,21898,1.0
21753,21918,16.0
21671,21748,1.0
21666,21774,1.0
21774,21862,1.0
21862,21874,1.0
21874,21609,1.0
21609,21820,8.0
21918,21820,42.0
21820,21645,6.0
21645,21710,5.0
21710,21630,3.0
21678,21842,33.0
21842,21635,44.0
21933,21741,7.0
21741,21762,1.0
21762,21933,4.0
21933,21710,15.0
21918,21713,3.0
21713,21944,1.0
21666,21835,2.0
21835,21783,3.0
21750,21713,1.0
21713,21838,1.0
21838,21635,1.0
21842,21918,13.0
21898,21848,3.0
21752,21787,4.0
21787,21842,4.0
21842,21898,19.0
21848,21678,1.0
21609,21783,11.0
21931,21842,1.0
21944,21767,2.0
21767,21611,1.0
21611,21666,1.0
21666,21779,5.0
21875,21896,1.0
21896,21767,4.0
21767,21875,4.0
21875,21779,2.0
21779,21848,1.0
21848,21782,2.0
21635,21601,4.0
21601,21918,2.0
21709,21820,17.0
21652,21944,42.0
21792,21886,4.0
21630,21835,6.0
21913,21939,1.0
21668,21727,1.0
21808,21792,1.0
21609,21792,7.0
21926,21886,3.0
21886,21756,5.0
21756,21944,4.0
21753,21688,56.0
21892,21678,8.0
21678,21892,5.0
21696,21862,1.0
21688,21857,4.0
21678,21879,5.0
21678,21738,2.0
21678,21696,8.0
21696,21609,10.0
21609,21906,2.0
21697,21782,1.0
21782,21769,5.0
21906,21770,1.0
21696,21906,1.0
21906,21638,1.0
21638,21763,1.0
21609,21796,1.0
21796,21840,1.0
21836,21688,25.0
21836,21944,2.0
21792,21734,1.0
21792,21645,1.0
21666,21860,1.0
21815,21666,6.0
21641,21666,3.0
21783,21879,1.0
21783,21666,1.0
21848,21879,1.0
21666,21713,2.0
21748,21638,1.0
21854,21914,1.0
21772,21753,19.0
21681,21888,4.0
21888,21608,2.0
21913,21635,7.0
21862,21913,4.0
21784,21637,2.0
21638,21630,3.0
21753,21748,7.0
21934,21666,8.0
21666,21638,11.0
21869,21603,1.0
21695,21660,1.0
21641,21934,2.0
21928,21820,3.0
21783,21876,14.0
21635,21774,2.0
21688,21898,13.0
21715,21770,1.0
21898,21879,6.0
21710,21879,3.0
21615,21841,1.0
21771,21635,4.0
21857,21885,1.0
21638,21678,4.0
21635,21848,3.0
21848,21928,1.0
21944,21713,2.0
21914,21756,1.0
21753,21862,11.0
21862,21886,5.0
21886,21618,1.0
21618,21886,1.0
21791,21753,2.0
21944,21939,1.0
21939,21944,1.0
21896,21739,15.0
21896,21833,5.0
21635,21739,43.0
21833,21739,6.0
21739,21913,1.0
21918,21699,1.0
21699,21609,1.0
21896,21914,3.0
21914,21739,1.0
21739,21762,2.0
21645,21879,6.0
21879,21645,6.0
21784,21645,1.0
21898,21758,2.0
21886,21621,9.0
21869,21621,1.0
21892,21601,1.0
21601,21896,3.0
21609,21782,6.0
21609,21769,13.0
21769,21782,2.0
21892,21934,4.0
21934,21886,12.0
21817,21709,1.0
21748,21886,6.0
21886,21898,40.0
21748,21898,9.0
21886,21862,13.0
21862,21678,3.0
21836,21609,7.0
21730,21752,2.0
21688,21709,5.0
21786,21815,2.0
21886,21926,3.0
21926,21688,4.0
21926,21898,1.0
21898,21769,3.0
21769,21792,2.0
21792,21811,1.0
21811,21906,1.0
21906,21779,1.0
21653,21871,1.0
21871,21918,4.0
21918,21944,26.0
21630,21666,8.0
21674,21879,2.0
21944,21932,1.0
21659,21909,1.0
21842,21615,3.0
21615,21778,2.0
21778,21728,1.0
21728,21640,1.0
21840,21886,6.0
21757,21899,2.0
21888,21737,1.0
21914,21857,3.0
21751,21824,1.0
21898,21752,1.0
21753,21879,14.0
21607,21892,2.0
21934,21809,1.0
21635,21825,4.0
21898,21892,9.0
21892,21771,2.0
21892,21688,12.0
21892,21815,8.0
21898,21815,3.0
21659,21815,2.0
21798,21680,1.0
21803,21681,1.0
21932,21635,25.0
21836,21659,1.0
21659,21836,1.0
21715,21688,3.0
21898,21816,1.0
21816,21609,1.0
21635,21816,1.0
21875,21933,5.0
21609,21816,1.0
21886,21890,5.0
21890,21756,1.0
21756,21688,4.0
21753,21815,14.0
21933,21890,12.0
21890,21688,3.0
21688,21678,22.0
21635,21693,15.0
21832,21934,1.0
21933,21832,1.0
21832,21688,1.0
21892,21835,11.0
21888,21783,4.0
21635,21680,8.0
21890,21733,1.0
21681,21645,2.0
21710,21763,1.0
21733,21738,1.0
21879,21758,1.0
21635,21758,2.0
21758,21844,1.0
21758,21666,1.0
21739,21875,1.0
21944,21769,2.0
21638,21860,1.0
21609,21737,21.0
21737,21635,2.0
21609,21630,12.0
21907,21772,2.0
21907,21932,1.0
21932,21907,1.0
21652,21681,11.0
21886,21804,3.0
21804,21728,1.0
21728,21635,5.0
21896,21891,1.0
21891,21913,1.0
21913,21898,3.0
21804,21783,2.0
21896,21635,37.0
21647,21898,1.0
21932,21695,5.0
21695,21733,1.0
21695,21932,2.0
21932,21771,2.0
21771,21695,2.0
21727,21737,5.0
21727,21733,2.0
21895,21931,5.0
21733,21666,5.0
21840,21820,4.0
21836,21931,1.0
21931,21823,1.0
21772,21931,1.0
21696,21931,23.0
21931,21895,2.0
21696,21666,2.0
21666,21931,1.0
21931,21609,4.0
21609,21696,12.0
21635,21668,2.0
21892,21898,7.0
21944,21635,49.0
21753,21898,20.0
21688,21753,19.0
21898,21842,18.0
21931,21678,4.0
21934,21899,7.0
21871,21678,2.0
21678,21752,1.0
21842,21779,6.0
21678,21782,5.0
21782,21898,8.0
21842,21871,4.0
21782,21667,1.0
21671,21933,5.0
21688,21727,3.0
21666,21944,7.0
21771,21934,3.0
21934,21879,3.0
21630,21752,6.0
21752,21693,1.0
21763,21727,2.0
21632,21748,1.0
21690,21635,1.0
21840,21792,3.0
21840,21737,5.0
21848,21778,2.0
21886,21609,130.0
21779,21609,30.0
21681,21913,2.0
21675,21635,3.0
21840,21918,7.0
21678,21621,4.0
21763,21654,1.0
21654,21918,2.0
21696,21733,1.0
21898,21792,2.0
21792,21815,1.0
21936,21918,1.0
21609,21642,4.0
21763,21918,4.0
21936,21843,1.0
21843,21697,1.0
21737,21918,12.0
21918,21840,3.0
21918,21763,12.0
21678,21826,1.0
21696,21836,1.0
21836,21840,1.0
21892,21875,2.0
21792,21918,3.0
21918,21697,6.0
21737,21925,1.0
21925,21898,1.0
21609,21675,2.0
21678,21732,2.0
21739,21642,7.0
21933,21815,13.0
21823,21739,5.0
