catg,time,delta_times
21805,22063,4.0
21733,21993,18.0
21934,22009,20.0
21944,22014,41.0
21934,22032,37.0
21944,22039,61.0
21944,21978,40.0
21933,22058,72.0
21932,22034,7.0
21826,21994,5.0
21944,22101,51.0
21944,21983,85.0
21645,22038,16.0
21833,22063,3.0
21833,21983,23.0
21645,22060,26.0
21944,22052,108.0
21944,21981,108.0
21891,22012,10.0
21753,22055,255.0
21833,21960,14.0
21891,21964,11.0
21944,21979,68.0
21748,21985,15.0
21835,22083,10.0
21833,21963,5.0
21872,21987,3.0
21944,22013,37.0
21833,22005,5.0
21809,22084,2.0
21678,21971,24.0
21835,22011,14.0
21727,22034,30.0
21620,22042,2.0
21875,22059,6.0
21620,22018,3.0
21739,22058,52.0
21783,21972,7.0
21753,22018,114.0
21944,22029,112.0
21944,22036,52.0
21662,22066,1.0
21913,22091,22.0
21739,21965,42.0
21688,22018,90.0
21944,22058,69.0
21944,22109,61.0
21944,21955,93.0
21688,22019,59.0
21738,21989,8.0
21620,22086,7.0
21753,22103,10.0
21944,21970,56.0
21757,22017,15.0
21630,22059,40.0
21890,21992,9.0
21849,22065,1.0
21944,22076,40.0
21944,22110,66.0
21944,22113,78.0
21662,22011,3.0
21630,22089,39.0
21697,22112,38.0
21771,22042,10.0
21630,22011,27.0
21757,22106,17.0
21662,21994,1.0
21944,22016,47.0
21739,22060,46.0
21944,21961,62.0
21638,22069,36.0
21914,21971,27.0
21879,22012,18.0
21944,21991,52.0
21635,22090,334.0
21630,22033,15.0
21891,22041,5.0
21635,22057,205.0
21635,21961,191.0
21609,21988,65.0
21688,22011,74.0
21609,22111,91.0
21688,22113,92.0
21835,22114,58.0
21899,22090,32.0
21666,22041,74.0
21835,22110,41.0
21635,21988,268.0
21835,21988,20.0
21835,22109,40.0
21918,21957,100.0
21688,21986,45.0
21783,21967,26.0
21635,22034,286.0
21688,22059,66.0
21635,21989,261.0
21918,22054,61.0
21688,21963,61.0
21688,21987,51.0
21678,22067,19.0
21748,22091,31.0
21666,22095,57.0
21635,22114,217.0
21836,22114,9.0
21642,21989,15.0
21886,22044,43.0
21635,22058,346.0
21635,22010,270.0
21836,22087,17.0
21678,21986,20.0
21710,21991,9.0
21710,22086,6.0
21944,21949,15.0
21720,22043,33.0
21635,21963,325.0
21642,21967,12.0
21944,22005,87.0
21635,22111,314.0
21918,22069,21.0
21862,21965,38.0
21862,22007,63.0
21688,22058,50.0
21862,22030,93.0
21918,21981,117.0
21635,21984,134.0
21913,22058,22.0
21944,22010,42.0
21718,22042,3.0
21918,22029,135.0
21666,22042,103.0
21652,21985,1.0
21723,21989,2.0
21723,22011,3.0
21898,22029,109.0
21703,22038,1.0
21868,22038,2.0
21710,21969,11.0
21934,22030,48.0
21666,22017,57.0
21642,22053,2.0
21815,21988,19.0
21934,22036,24.0
21635,22059,335.0
21674,22060,13.0
21819,22063,3.0
21819,22086,1.0
21820,22099,27.0
21934,21992,48.0
21666,22089,62.0
21662,21965,3.0
21710,21997,8.0
21786,22000,1.0
21934,21970,25.0
21879,21982,5.0
21892,22095,3.0
21913,21947,6.0
21763,21949,9.0
21892,22062,15.0
21932,21986,12.0
21662,22012,7.0
21753,22033,155.0
21934,22056,35.0
21934,21984,41.0
21934,22086,25.0
21609,22059,83.0
21914,22040,35.0
21842,21988,24.0
21688,22009,32.0
21635,22056,123.0
21720,22082,7.0
21688,22083,56.0
21635,22008,124.0
21609,22060,70.0
21688,21964,65.0
21713,21986,7.0
21688,22039,61.0
21635,21965,254.0
21944,21989,54.0
21933,22060,68.0
21868,22062,5.0
21820,22096,165.0
21635,22016,322.0
21763,22067,23.0
21890,22114,9.0
21914,22021,6.0
21688,21969,101.0
21635,22113,324.0
21835,22113,56.0
21887,22085,2.0
21688,22108,81.0
21783,22113,23.0
21899,22085,21.0
21944,22015,55.0
21733,21990,7.0
21688,22014,47.0
21899,22108,12.0
21835,22066,31.0
21783,22109,9.0
21934,22015,40.0
21640,22114,11.0
21630,21948,18.0
21944,21948,28.0
21733,22091,16.0
21688,21988,60.0
21737,22108,8.0
21843,22111,6.0
21720,22034,9.0
21720,22009,2.0
21763,22019,21.0
21636,21992,4.0
21783,22037,11.0
21914,21994,27.0
21635,22077,11.0
21609,22066,79.0
21753,22066,93.0
21733,22067,18.0
21944,22077,64.0
21944,21985,63.0
21944,21988,70.0
21609,21993,63.0
21753,21992,296.0
21640,22091,22.0
21727,22091,17.0
21733,22010,26.0
21815,21973,8.0
21753,21968,279.0
21733,22058,33.0
21636,22086,1.0
21630,22114,49.0
21944,21947,47.0
21944,21952,21.0
21710,22088,11.0
21834,22091,11.0
21899,21969,23.0
21933,21993,111.0
21720,21997,6.0
21764,22066,6.0
21757,21971,12.0
21899,22112,50.0
21819,21994,4.0
21642,21987,10.0
21792,22106,4.0
21696,22107,2.0
21642,22042,7.0
21944,22057,66.0
21674,22059,10.0
21635,22060,235.0
21802,21969,1.0
21811,21993,9.0
21809,22043,6.0
21842,21958,24.0
21667,21988,3.0
21614,22108,1.0
21609,21998,22.0
21820,22093,207.0
21642,22040,12.0
21609,21995,53.0
21609,22095,20.0
21621,21989,9.0
21635,21995,111.0
21871,22015,19.0
21871,21993,31.0
21913,21987,12.0
21871,22088,47.0
21638,22092,34.0
21787,22112,22.0
21638,22090,23.0
21871,22018,44.0
21871,22016,30.0
21899,21968,19.0
21835,22085,26.0
21871,22019,35.0
21871,22087,50.0
21871,22090,28.0
21871,22111,46.0
21871,22017,56.0
21771,22059,19.0
21842,22114,23.0
21720,22035,18.0
21771,22089,9.0
21944,22035,57.0
21739,21992,17.0
21771,22034,10.0
21834,22069,11.0
21944,22078,55.0
21890,21971,4.0
21815,22059,32.0
21641,22037,3.0
21635,22061,296.0
21891,22061,12.0
21842,22106,34.0
21709,22092,10.0
21640,22111,8.0
21933,22059,88.0
21925,22060,3.0
21640,22087,11.0
21620,22078,3.0
21835,21967,19.0
21675,22036,1.0
21898,21998,11.0
21834,22045,5.0
21733,22035,27.0
21923,22090,2.0
21645,21988,33.0
21703,22031,2.0
21819,22082,1.0
21944,22041,75.0
21809,22016,1.0
21662,22067,1.0
21805,21971,2.0
21757,22012,10.0
21753,22041,293.0
21784,22041,6.0
21713,22062,1.0
21778,22107,3.0
21662,22108,3.0
21944,22042,51.0
21693,22011,2.0
21739,21967,22.0
21739,21969,13.0
21872,22012,1.0
21614,21988,2.0
21934,21947,16.0
21635,21990,233.0
21635,22089,382.0
21728,21981,2.0
21898,22110,39.0
21609,22061,70.0
21609,21947,39.0
21944,21958,112.0
21933,21984,153.0
21898,22079,30.0
21933,22013,73.0
21933,22016,123.0
21933,21967,76.0
21851,22104,1.0
21688,21971,66.0
21898,22011,50.0
21933,22034,75.0
21645,21984,44.0
21898,22012,46.0
21933,21983,182.0
21635,21992,319.0
21933,21960,131.0
21688,21962,55.0
21898,21964,54.0
21688,22033,47.0
21688,22064,71.0
21898,21963,49.0
21688,22012,54.0
21898,21984,62.0
21898,22016,49.0
21898,22028,37.0
21635,22036,269.0
21898,22051,10.0
21914,21987,46.0
21898,22005,80.0
21898,22060,43.0
21933,21981,214.0
21645,22007,45.0
21898,21955,10.0
21933,21957,179.0
21645,21958,39.0
21645,21983,84.0
21898,22004,21.0
21645,22005,24.0
21898,22027,18.0
21645,22029,29.0
21645,22054,35.0
21898,21980,38.0
21898,21954,3.0
21898,21978,5.0
21898,22106,25.0
21933,22005,157.0
21898,22078,22.0
21645,22008,52.0
21898,22030,105.0
21635,21987,282.0
21944,22112,63.0
21898,22054,82.0
21784,21988,7.0
21898,22033,45.0
21898,21989,43.0
21666,22063,29.0
21944,22008,68.0
21642,21986,14.0
21879,22053,5.0
21754,21969,6.0
21728,22005,1.0
21835,22105,4.0
21811,22106,5.0
21728,22013,4.0
21784,22008,5.0
21784,22031,13.0
21784,21983,13.0
21784,21960,3.0
21784,22056,14.0
21666,22068,84.0
21825,22059,3.0
21705,22066,6.0
21944,21982,107.0
21784,22009,6.0
21666,22046,27.0
21718,21962,27.0
21784,22033,6.0
21619,21989,5.0
21710,22009,16.0
21738,22042,1.0
21681,22056,2.0
21784,21985,7.0
21833,22033,5.0
21733,22061,18.0
21753,22089,8.0
21944,21962,75.0
21733,21989,12.0
21753,22099,5.0
21896,22080,12.0
21886,22011,50.0
21635,22070,12.0
21926,21957,2.0
21609,21962,68.0
21898,22109,38.0
21886,22020,32.0
21635,21948,21.0
21926,22006,4.0
21624,22013,1.0
21926,22030,3.0
21678,22015,40.0
21638,22070,27.0
21926,22010,3.0
21733,22108,16.0
21933,21987,96.0
21933,22029,180.0
21880,22110,2.0
21718,21988,27.0
21833,22106,1.0
21645,22080,14.0
21765,22113,5.0
21645,22083,8.0
21833,22083,3.0
21833,22107,1.0
21645,21960,47.0
21833,22105,2.0
21645,22105,6.0
21645,21965,27.0
21833,21965,7.0
21933,22018,68.0
21666,22069,101.0
21748,22007,4.0
21639,22010,5.0
21639,22018,2.0
21833,22088,2.0
21645,22088,10.0
21645,22089,10.0
21833,21992,4.0
21645,21992,23.0
21833,21962,6.0
21833,22057,7.0
21833,22112,1.0
21833,21961,11.0
21645,21961,25.0
21645,22112,7.0
21710,22090,9.0
21713,21958,1.0
21833,22019,3.0
21645,22063,14.0
21748,22053,13.0
21833,21989,4.0
21833,22031,25.0
21833,21969,5.0
21710,21983,31.0
21763,22045,10.0
21688,21993,85.0
21923,21964,1.0
21890,22113,9.0
21619,22012,8.0
21754,22061,1.0
21748,22031,12.0
21662,21990,2.0
21771,22108,15.0
21944,22017,43.0
21753,22082,18.0
21630,21947,39.0
21826,22017,6.0
21886,22051,43.0
21944,21966,44.0
21666,22064,47.0
21757,22083,12.0
21725,22107,1.0
21811,21957,25.0
21614,21985,3.0
21891,22114,9.0
21944,22091,25.0
21666,21994,60.0
21771,22058,7.0
21666,22113,63.0
21771,22045,1.0
21710,22070,4.0
21820,22095,265.0
21891,22094,2.0
21835,22018,39.0
21820,22071,147.0
21763,22066,24.0
21718,21963,38.0
21715,22037,3.0
21635,21966,221.0
21710,22072,3.0
21609,21987,63.0
21609,22016,87.0
21820,22049,17.0
21693,21966,3.0
21802,22000,1.0
21819,22108,3.0
21669,21992,1.0
21782,22038,3.0
21792,22011,6.0
21792,21960,3.0
21792,21987,6.0
21792,22018,3.0
21792,21963,4.0
21792,22034,2.0
21792,21964,3.0
21792,21988,2.0
21792,22013,3.0
21944,22034,61.0
21792,22060,4.0
21792,22078,4.0
21792,22050,1.0
21792,22014,3.0
21792,22101,1.0
21792,21968,5.0
21792,22017,2.0
21792,22039,2.0
21792,22091,5.0
21748,22041,26.0
21637,21983,7.0
21637,22008,1.0
21637,22032,5.0
21899,22106,5.0
21835,22084,14.0
21899,21987,5.0
21899,22018,24.0
21710,22077,4.0
21680,22083,2.0
21748,22065,24.0
21771,22112,8.0
21868,22082,3.0
21934,22083,7.0
21670,22110,3.0
21752,22039,10.0
21720,22090,24.0
21771,22036,15.0
21886,22053,112.0
21896,22053,30.0
21614,21961,1.0
21842,21963,27.0
21609,21963,67.0
21609,22030,135.0
21842,22030,29.0
21730,22040,6.0
21886,22041,63.0
21753,22006,400.0
21841,22067,10.0
21798,22081,13.0
21914,21985,22.0
21635,22088,416.0
21879,22088,29.0
21891,22106,3.0
21733,21984,6.0
21914,22056,14.0
21635,22068,35.0
21914,22082,14.0
21914,22009,11.0
21914,22080,6.0
21635,22086,371.0
21914,22034,31.0
21635,22091,189.0
21835,22069,11.0
21733,22033,11.0
21733,22057,8.0
21753,22065,215.0
21752,22081,3.0
21944,22100,35.0
21875,22112,5.0
21892,22114,23.0
21758,22114,4.0
21886,22010,61.0
21635,22067,120.0
21899,22067,25.0
21815,22036,15.0
21638,22022,11.0
21914,22036,38.0
21886,22039,57.0
21842,22041,24.0
21898,22094,27.0
21668,22098,3.0
21713,22020,1.0
21890,22064,6.0
21797,22010,6.0
21642,22011,16.0
21609,22071,22.0
21779,22111,63.0
21779,21962,21.0
21779,21984,23.0
21769,22041,9.0
21886,22067,50.0
21741,22068,2.0
21862,22109,14.0
21862,21985,30.0
21731,22108,4.0
21720,22070,8.0
21909,22083,7.0
21750,22034,1.0
21619,22041,4.0
21662,22085,3.0
21642,22016,11.0
21833,21984,21.0
21857,21988,17.0
21857,21964,26.0
21833,22011,8.0
21833,22035,5.0
21833,22110,1.0
21833,21959,26.0
21857,22035,20.0
21833,21958,21.0
21833,22007,17.0
21776,21947,1.0
21944,21957,127.0
21662,22109,6.0
21857,21989,21.0
21833,22056,16.0
21890,21987,8.0
21833,22008,8.0
21739,22033,71.0
21835,22042,36.0
21899,22113,54.0
21753,22062,77.0
21753,22080,44.0
21753,22083,24.0
21763,22012,23.0
21899,22091,39.0
21625,22093,6.0
21771,22061,5.0
21764,22086,1.0
21833,22032,20.0
21857,22061,14.0
21776,21962,1.0
21701,22112,1.0
21833,22059,5.0
21944,22086,36.0
21678,22057,26.0
21666,21991,18.0
21928,22057,2.0
21715,22086,5.0
21898,22076,14.0
21770,22085,9.0
21630,22057,16.0
21757,22090,11.0
21635,22041,421.0
21718,22031,48.0
21944,22038,48.0
21928,22058,8.0
21713,21969,3.0
21907,22039,5.0
21898,22032,57.0
21886,21957,131.0
21886,22014,42.0
21886,21981,124.0
21727,21962,26.0
21738,21982,12.0
21886,22003,40.0
21630,21986,29.0
21886,22016,50.0
21886,22027,30.0
21635,22009,196.0
21638,21977,1.0
21635,22110,299.0
21695,21951,5.0
21720,22042,28.0
21753,22061,106.0
21695,22098,6.0
21753,21961,169.0
21635,21993,311.0
21835,21993,43.0
21695,22045,12.0
21819,22043,10.0
21695,22048,6.0
21695,21952,3.0
21695,21975,3.0
21739,22014,39.0
21933,22114,45.0
21688,22035,65.0
21695,22047,5.0
21710,22060,19.0
21784,22082,3.0
21638,22096,25.0
21695,22097,5.0
21670,21988,3.0
21695,22000,8.0
21739,22034,54.0
21705,22035,4.0
21819,22094,4.0
21857,22088,15.0
21706,22099,1.0
21695,22099,4.0
21695,21976,2.0
21862,22002,3.0
21695,21999,6.0
21695,22024,4.0
21783,22067,7.0
21695,22093,21.0
21695,21953,2.0
21857,22042,53.0
21695,22095,14.0
21740,21959,16.0
21695,21950,9.0
21753,21985,178.0
21718,22058,34.0
21739,22035,44.0
21748,22082,13.0
21770,22104,1.0
21715,22105,3.0
21799,21988,2.0
21748,22039,16.0
21777,22041,2.0
21653,22090,4.0
21753,21965,141.0
21770,22110,7.0
21753,21967,128.0
21753,21984,223.0
21753,22008,180.0
21753,21971,64.0
21753,22058,115.0
21819,22068,4.0
21718,21983,64.0
21899,22043,37.0
21879,22085,17.0
21754,22086,1.0
21635,22094,12.0
21630,21987,28.0
21835,21970,60.0
21893,21988,1.0
21944,21959,96.0
21630,21988,19.0
21928,22084,5.0
21817,22011,9.0
21786,22110,9.0
21893,22035,1.0
21786,22071,12.0
21630,22018,31.0
21944,22079,41.0
21733,22043,22.0
21738,22093,1.0
21671,21984,27.0
21786,22034,2.0
21720,21995,34.0
21818,21966,2.0
21879,21990,17.0
21884,21964,2.0
21666,22038,6.0
21640,21948,3.0
21753,22040,272.0
21640,21996,1.0
21753,22039,119.0
21944,21993,56.0
21739,22005,71.0
21891,22089,6.0
21857,22041,58.0
21718,22036,23.0
21727,22106,20.0
21739,21964,51.0
21842,22081,26.0
21944,21980,92.0
21944,21984,71.0
21652,22013,2.0
21749,21984,4.0
21944,21987,39.0
21710,22020,6.0
21710,22054,20.0
21944,22060,58.0
21898,22015,41.0
21914,21988,31.0
21944,22056,71.0
21933,22061,92.0
21934,22109,23.0
21630,22109,15.0
21886,21956,125.0
21944,21963,77.0
21652,22016,1.0
21666,22091,110.0
21609,21957,122.0
21933,21988,76.0
21933,21989,52.0
21933,21991,77.0
21609,22052,60.0
21713,21971,5.0
21733,22020,11.0
21914,21960,6.0
21944,21956,131.0
21944,22066,38.0
21944,22068,28.0
21944,22027,68.0
21944,22030,85.0
21758,22108,1.0
21886,22070,14.0
21886,22077,41.0
21886,21949,33.0
21928,22094,4.0
21886,21955,59.0
21886,22075,31.0
21713,22067,10.0
21713,22066,10.0
21746,22014,1.0
21857,22087,11.0
21871,22112,70.0
21857,21994,69.0
21857,21986,29.0
21733,22014,6.0
21831,22092,1.0
21733,22037,8.0
21871,22113,22.0
21746,21994,1.0
21733,21962,18.0
21753,22054,385.0
21872,22069,2.0
21879,22042,19.0
21733,21987,27.0
21635,21985,200.0
21640,22032,1.0
21733,22012,19.0
21871,22042,26.0
21713,22014,2.0
21666,22044,59.0
21836,21993,12.0
21741,22011,1.0
21914,22019,26.0
21730,21966,3.0
21857,22044,13.0
21892,21988,12.0
21792,22081,3.0
21642,22082,3.0
21857,21970,87.0
21891,21988,14.0
21892,22097,4.0
21944,21974,14.0
21773,22059,3.0
21890,22054,5.0
21731,21989,3.0
21934,22013,24.0
21899,22042,20.0
21666,22066,101.0
21879,21986,13.0
21784,21969,3.0
21730,22011,5.0
21820,21994,5.0
21642,22062,10.0
21619,22086,4.0
21639,22054,2.0
21728,22054,2.0
21944,22062,52.0
21688,21947,69.0
21770,21964,6.0
21666,22047,13.0
21914,22037,21.0
21638,21999,8.0
21841,22097,1.0
21688,22010,41.0
21753,22060,114.0
21753,22012,148.0
21688,21990,43.0
21914,22066,24.0
21753,22011,145.0
21763,21964,15.0
21718,22011,31.0
21615,21992,1.0
21872,22068,4.0
21753,22079,76.0
21907,22107,1.0
21944,21953,20.0
21944,22094,14.0
21886,21961,55.0
21758,21995,3.0
21933,22055,169.0
21933,21992,141.0
21739,22012,43.0
21899,21994,26.0
21820,22044,38.0
21739,21963,62.0
21688,22114,83.0
21688,21995,66.0
21815,21964,19.0
21787,21964,9.0
21662,21988,3.0
21688,22090,131.0
21933,22113,58.0
21733,22042,28.0
21891,21963,9.0
21896,21993,16.0
21891,22059,14.0
21934,22059,23.0
21748,21977,2.0
21666,22045,54.0
21842,22042,22.0
21842,22089,31.0
21842,21969,24.0
21842,21970,21.0
21678,22054,38.0
21666,22093,126.0
21726,22085,1.0
21729,22020,2.0
21612,22041,1.0
21820,22073,78.0
21862,21981,45.0
21862,22108,13.0
21780,21994,9.0
21842,22017,29.0
21879,21947,13.0
21625,22015,1.0
21842,21995,20.0
21842,22067,13.0
21842,22019,10.0
21928,22045,3.0
21609,21983,97.0
21898,22014,40.0
21879,22114,23.0
21714,22091,2.0
21789,21966,1.0
21662,22111,5.0
21886,21948,56.0
21842,21994,30.0
21886,22088,47.0
21779,22110,52.0
21918,21973,10.0
21666,22058,23.0
21933,22017,103.0
21933,22056,118.0
21879,21979,2.0
21843,21979,1.0
21842,21980,15.0
21820,22046,53.0
21820,22092,83.0
21933,21986,69.0
21918,21993,44.0
21933,22057,81.0
21820,22058,2.0
21933,22064,122.0
21820,22072,99.0
21898,21993,56.0
21748,22017,14.0
21933,22036,65.0
21820,22037,1.0
21666,22043,96.0
21820,21947,19.0
21783,21997,3.0
21934,22020,3.0
21875,22021,1.0
21918,22021,6.0
21783,22021,5.0
21820,22114,21.0
21709,21951,7.0
21886,21973,17.0
21886,21977,2.0
21886,21968,51.0
21857,21982,38.0
21820,21986,3.0
21933,22010,65.0
21815,22017,32.0
21748,22018,11.0
21727,22011,23.0
21733,22017,15.0
21783,21959,18.0
21609,22062,73.0
21783,22077,18.0
21783,21965,7.0
21783,22029,66.0
21783,21983,29.0
21607,22085,3.0
21810,22034,1.0
21752,22016,14.0
21630,22066,34.0
21678,22082,21.0
21845,22011,1.0
21944,22031,72.0
21879,21993,25.0
21879,22060,8.0
21842,22109,46.0
21666,22036,11.0
21926,22085,3.0
21764,22091,7.0
21666,22094,79.0
21944,22064,71.0
21753,22010,114.0
21753,22063,85.0
21763,22059,23.0
21928,22092,5.0
21728,22010,2.0
21750,22105,2.0
21784,21992,4.0
21678,22041,47.0
21871,21991,11.0
21662,21963,4.0
21642,21994,4.0
21642,22017,8.0
21834,22040,1.0
21619,22036,4.0
21815,22012,21.0
