user,catg,delta_times
26,21890,1.0
26,21914,1.0
26,21835,3.0
26,21887,1.0
26,21783,2.0
26,21733,2.0
26,21934,1.0
26,21640,1.0
26,21630,1.0
26,21737,1.0
26,21843,1.0
27,21763,1.0
27,21636,1.0
27,21783,1.0
28,21914,1.0
28,21635,2.0
28,21609,1.0
29,21753,1.0
29,21733,1.0
29,21944,3.0
30,21609,1.0
30,21835,1.0
30,21753,2.0
30,21640,1.0
30,21727,2.0
30,21635,1.0
30,21733,3.0
30,21815,1.0
30,21636,1.0
30,21630,1.0
30,21944,2.0
31,21710,1.0
32,21834,1.0
32,21899,2.0
32,21933,1.0
32,21720,1.0
32,21764,1.0
32,21757,1.0
32,21819,1.0
32,21642,3.0
32,21792,1.0
32,21696,1.0
32,21944,1.0
32,21674,1.0
32,21635,1.0
32,21802,1.0
32,21811,1.0
32,21809,1.0
33,21635,1.0
33,21842,1.0
33,21667,1.0
33,21614,1.0
33,21609,1.0
33,21820,1.0
33,21886,1.0
33,21739,1.0
33,21642,1.0
34,21609,1.0
34,21835,1.0
35,21609,1.0
35,21621,1.0
35,21635,1.0
35,21871,10.0
35,21630,1.0
35,21913,2.0
35,21638,2.0
35,21787,1.0
35,21899,1.0
35,21835,1.0
36,21739,9.0
36,21771,3.0
36,21842,1.0
36,21720,1.0
36,21944,2.0
36,21834,1.0
36,21890,1.0
36,21815,1.0
36,21641,1.0
37,21635,2.0
37,21891,1.0
37,21842,1.0
37,21709,1.0
37,21835,2.0
37,21640,2.0
37,21933,1.0
37,21925,1.0
37,21620,1.0
37,21675,1.0
38,21898,1.0
39,21834,1.0
39,21630,1.0
39,21733,2.0
39,21923,1.0
39,21645,1.0
39,21703,1.0
39,21819,1.0
39,21944,4.0
39,21809,1.0
39,21662,2.0
39,21805,1.0
39,21757,1.0
39,21753,1.0
39,21815,2.0
39,21784,1.0
39,21713,1.0
39,21778,1.0
39,21693,1.0
39,21619,1.0
39,21739,3.0
39,21872,1.0
40,21614,1.0
40,21635,5.0
40,21934,1.0
40,21728,1.0
40,21898,1.0
41,21609,3.0
41,21944,3.0
41,21933,13.0
41,21898,34.0
41,21851,1.0
41,21688,6.0
41,21645,9.0
41,21635,10.0
41,21914,1.0
41,21784,1.0
41,21666,1.0
42,21944,1.0
43,21642,1.0
43,21879,1.0
43,21754,1.0
43,21728,2.0
43,21835,1.0
43,21811,1.0
44,21753,1.0
44,21896,1.0
44,21886,2.0
44,21635,2.0
44,21926,4.0
44,21609,1.0
44,21898,1.0
44,21624,1.0
44,21666,1.0
44,21678,1.0
44,21638,1.0
45,21733,1.0
45,21933,2.0
45,21880,1.0
45,21718,1.0
46,21645,13.0
46,21833,18.0
46,21765,1.0
46,21933,1.0
46,21666,1.0
46,21748,2.0
46,21639,2.0
46,21710,1.0
46,21713,1.0
46,21635,1.0
47,21635,1.0
47,21833,1.0
47,21710,1.0
47,21763,1.0
47,21688,1.0
47,21923,1.0
47,21890,1.0
47,21619,1.0
47,21944,4.0
47,21754,1.0
47,21748,1.0
47,21662,1.0
47,21771,1.0
47,21753,1.0
48,21630,2.0
48,21826,1.0
48,21886,1.0
48,21944,4.0
48,21666,3.0
48,21757,1.0
48,21725,1.0
48,21811,1.0
48,21614,1.0
48,21891,2.0
48,21720,1.0
48,21771,2.0
49,21771,1.0
49,21820,5.0
49,21710,2.0
49,21635,2.0
49,21891,1.0
49,21835,1.0
49,21763,1.0
49,21718,1.0
49,21715,1.0
49,21609,3.0
49,21693,1.0
49,21802,1.0
50,21819,1.0
50,21669,1.0
50,21782,1.0
51,21792,27.0
51,21635,3.0
51,21944,1.0
52,21748,2.0
52,21637,4.0
52,21899,3.0
52,21835,1.0
52,21710,1.0
52,21680,1.0
52,21771,1.0
53,21771,1.0
53,21886,2.0
53,21918,1.0
53,21896,1.0
53,21614,1.0
53,21842,3.0
53,21609,2.0
53,21730,1.0
53,21635,1.0
54,21944,2.0
54,21753,2.0
54,21841,1.0
54,21798,1.0
54,21635,12.0
54,21914,8.0
54,21879,1.0
54,21891,1.0
54,21733,5.0
54,21835,3.0
54,21752,1.0
54,21875,1.0
54,21892,1.0
54,21758,1.0
54,21886,1.0
54,21899,1.0
55,21815,1.0
55,21638,1.0
55,21914,1.0
55,21886,3.0
55,21842,2.0
55,21898,1.0
55,21668,1.0
55,21713,1.0
55,21890,1.0
55,21797,1.0
55,21642,1.0
55,21944,1.0
55,21609,1.0
55,21779,3.0
55,21678,1.0
55,21769,1.0
55,21798,1.0
55,21741,1.0
55,21862,2.0
55,21731,1.0
55,21720,1.0
55,21909,1.0
55,21750,1.0
55,21619,1.0
56,21662,2.0
56,21642,1.0
56,21833,23.0
56,21857,5.0
56,21776,2.0
56,21944,2.0
56,21890,1.0
56,21739,2.0
56,21835,1.0
56,21899,2.0
56,21753,4.0
56,21763,1.0
56,21625,1.0
56,21771,1.0
56,21764,1.0
56,21934,1.0
56,21701,1.0
57,21678,1.0
58,21666,2.0
58,21928,3.0
58,21715,1.0
58,21898,4.0
58,21770,1.0
58,21630,2.0
58,21757,1.0
58,21635,3.0
58,21944,3.0
58,21718,1.0
58,21713,1.0
58,21907,1.0
58,21886,8.0
58,21727,3.0
58,21738,2.0
58,21871,1.0
59,21645,1.0
59,21638,2.0
59,21635,3.0
59,21695,24.0
59,21739,20.0
59,21720,1.0
59,21753,3.0
59,21835,1.0
59,21819,2.0
59,21619,1.0
59,21933,1.0
59,21862,2.0
59,21688,1.0
59,21710,1.0
59,21784,1.0
59,21670,1.0
59,21705,1.0
59,21857,2.0
59,21706,1.0
59,21783,1.0
59,21871,1.0
59,21740,1.0
59,21718,1.0
59,21748,3.0
59,21770,1.0
59,21715,1.0
59,21799,1.0
59,21777,1.0
59,21653,1.0
60,21753,9.0
60,21770,1.0
61,21819,1.0
61,21718,2.0
61,21899,1.0
61,21879,2.0
61,21754,1.0
61,21635,2.0
61,21630,7.0
61,21835,1.0
61,21893,2.0
61,21944,5.0
61,21720,2.0
61,21928,2.0
61,21817,1.0
61,21786,3.0
61,21733,1.0
61,21738,1.0
61,21671,1.0
61,21818,1.0
61,21884,1.0
61,21666,1.0
61,21753,5.0
61,21640,2.0
61,21739,1.0
61,21891,1.0
61,21857,1.0
62,21944,11.0
62,21652,2.0
62,21635,1.0
62,21749,1.0
62,21710,2.0
62,21898,1.0
62,21914,1.0
62,21933,4.0
62,21934,1.0
62,21630,1.0
62,21886,1.0
62,21666,1.0
62,21609,2.0
63,21713,3.0
63,21733,1.0
63,21914,1.0
63,21944,8.0
63,21758,1.0
63,21886,6.0
63,21928,1.0
64,21746,2.0
64,21857,3.0
64,21871,4.0
64,21733,7.0
64,21831,1.0
64,21879,2.0
64,21944,1.0
64,21753,1.0
64,21872,1.0
64,21635,3.0
64,21640,1.0
64,21713,1.0
64,21886,1.0
65,21666,2.0
65,21635,2.0
65,21836,1.0
65,21741,1.0
65,21914,1.0
65,21730,2.0
65,21857,3.0
65,21892,2.0
65,21792,1.0
65,21642,2.0
65,21739,3.0
65,21891,1.0
65,21944,1.0
65,21773,1.0
65,21890,1.0
65,21720,1.0
65,21731,1.0
65,21934,1.0
65,21899,1.0
65,21710,1.0
65,21879,1.0
65,21784,1.0
65,21820,1.0
66,21639,1.0
66,21728,1.0
66,21944,1.0
67,21635,1.0
67,21688,3.0
67,21770,1.0
67,21666,1.0
67,21914,2.0
67,21638,1.0
67,21841,1.0
67,21753,3.0
67,21784,1.0
67,21763,1.0
68,21718,2.0
68,21944,6.0
68,21615,1.0
68,21872,1.0
68,21753,1.0
68,21907,1.0
68,21739,1.0
68,21666,1.0
69,21944,2.0
69,21688,8.0
69,21635,4.0
69,21886,1.0
69,21899,4.0
69,21758,1.0
69,21733,2.0
69,21933,8.0
69,21739,31.0
69,21820,1.0
69,21815,1.0
69,21787,1.0
69,21662,1.0
69,21891,2.0
69,21896,1.0
69,21630,1.0
69,21934,1.0
70,21748,1.0
70,21666,3.0
70,21842,11.0
70,21635,3.0
70,21678,2.0
70,21726,1.0
70,21729,1.0
70,21612,1.0
70,21779,2.0
70,21886,3.0
70,21820,1.0
70,21862,2.0
70,21780,1.0
70,21739,1.0
70,21879,2.0
70,21625,1.0
70,21928,1.0
70,21609,1.0
70,21898,1.0
70,21638,1.0
70,21714,1.0
70,21789,1.0
70,21645,1.0
70,21662,1.0
70,21688,1.0
71,21918,4.0
71,21933,14.0
71,21886,5.0
71,21666,2.0
71,21820,11.0
71,21635,1.0
71,21879,1.0
71,21843,1.0
71,21842,1.0
71,21898,1.0
71,21748,2.0
71,21783,2.0
71,21934,1.0
71,21875,1.0
71,21709,1.0
71,21857,1.0
71,21815,1.0
71,21630,1.0
72,21727,2.0
72,21733,1.0
72,21783,5.0
72,21609,1.0
72,21607,1.0
72,21944,1.0
72,21810,1.0
72,21752,1.0
72,21645,1.0
72,21630,1.0
73,21678,1.0
73,21638,1.0
73,21845,1.0
73,21753,5.0
73,21944,9.0
73,21879,2.0
73,21842,1.0
73,21666,2.0
73,21926,1.0
73,21872,1.0
73,21764,1.0
73,21763,1.0
73,21928,1.0
74,21739,1.0
74,21728,1.0
74,21750,1.0
74,21753,1.0
74,21784,1.0
75,21678,1.0
75,21871,1.0
76,21662,1.0
76,21642,2.0
76,21834,1.0
76,21674,1.0
76,21944,4.0
76,21619,1.0
76,21815,2.0
76,21645,1.0
76,21720,1.0
76,21932,1.0
76,21869,1.0
76,21667,1.0
76,21918,1.0
77,21891,1.0
77,21769,4.0
77,21639,2.0
77,21635,1.0
77,21944,2.0
77,21754,1.0
77,21886,1.0
78,21633,10.0
78,21926,2.0
78,21842,5.0
78,21635,2.0
78,21871,3.0
78,21886,1.0
78,21772,1.0
78,21925,1.0
78,21944,1.0
78,21615,1.0
78,21890,1.0
79,21896,50.0
79,21934,3.0
79,21635,2.0
79,21944,1.0
80,21609,8.0
80,21720,3.0
80,21630,1.0
80,21659,1.0
80,21922,1.0
80,21835,1.0
80,21710,2.0
80,21637,3.0
80,21783,1.0
80,21603,1.0
80,21918,3.0
80,21890,1.0
80,21809,1.0
80,21695,1.0
80,21666,4.0
80,21635,2.0
80,21898,1.0
80,21748,3.0
80,21842,1.0
80,21891,1.0
80,21820,1.0
80,21705,1.0
80,21928,1.0
80,21944,3.0
80,21739,1.0
80,21757,1.0
80,21645,1.0
80,21862,1.0
80,21721,1.0
80,21913,1.0
80,21733,1.0
81,21926,1.0
81,21809,2.0
81,21860,1.0
81,21739,2.0
82,21763,1.0
82,21820,1.0
82,21786,1.0
82,21643,1.0
82,21944,1.0
82,21907,1.0
82,21934,1.0
83,21636,1.0
83,21836,2.0
83,21879,5.0
83,21609,1.0
83,21720,2.0
83,21778,1.0
83,21630,1.0
83,21888,1.0
83,21625,2.0
83,21619,1.0
83,21842,1.0
83,21753,2.0
83,21641,1.0
83,21708,1.0
83,21787,1.0
83,21805,1.0
84,21635,1.0
84,21899,1.0
84,21609,1.0
84,21774,1.0
84,21779,1.0
84,21757,1.0
84,21944,2.0
84,21786,1.0
84,21720,1.0
85,21752,3.0
85,21842,1.0
85,21678,1.0
85,21666,1.0
85,21635,1.0
85,21835,1.0
85,21739,1.0
85,21738,1.0
85,21641,1.0
85,21918,1.0
85,21670,1.0
86,21891,1.0
86,21675,1.0
86,21834,1.0
86,21783,2.0
86,21934,2.0
86,21944,4.0
86,21835,2.0
86,21731,1.0
86,21720,2.0
86,21820,1.0
86,21659,3.0
86,21635,3.0
86,21786,2.0
86,21925,2.0
86,21757,2.0
86,21918,1.0
86,21778,1.0
86,21748,1.0
86,21741,1.0
86,21779,2.0
86,21641,1.0
86,21752,1.0
86,21890,1.0
86,21739,3.0
86,21688,2.0
86,21630,1.0
87,21638,1.0
87,21944,2.0
88,21635,9.0
88,21647,18.0
88,21753,14.0
88,21739,1.0
88,21835,1.0
88,21654,1.0
88,21933,2.0
88,21914,1.0
89,21753,3.0
89,21918,1.0
89,21934,1.0
89,21752,1.0
89,21635,1.0
89,21944,1.0
89,21611,1.0
90,21757,1.0
90,21690,1.0
90,21640,1.0
91,21886,2.0
91,21609,2.0
91,21635,2.0
91,21618,1.0
92,21609,3.0
92,21840,4.0
92,21635,18.0
92,21688,3.0
92,21898,8.0
92,21886,8.0
92,21820,2.0
92,21875,1.0
92,21753,7.0
92,21666,1.0
92,21914,1.0
93,21681,1.0
93,21944,2.0
93,21635,1.0
93,21666,2.0
93,21885,1.0
93,21784,1.0
93,21871,1.0
93,21898,1.0
93,21615,1.0
93,21835,1.0
94,21623,8.0
94,21609,2.0
94,21842,2.0
94,21758,3.0
94,21666,4.0
94,21815,1.0
94,21913,7.0
94,21764,1.0
94,21635,5.0
94,21713,1.0
94,21733,2.0
94,21688,2.0
94,21630,2.0
94,21820,1.0
94,21778,2.0
94,21615,2.0
94,21885,1.0
94,21720,2.0
94,21763,1.0
94,21690,1.0
94,21653,1.0
94,21779,2.0
94,21899,2.0
95,21666,7.0
95,21933,13.0
95,21688,1.0
95,21640,1.0
95,21676,1.0
95,21635,1.0
95,21695,1.0
95,21896,1.0
95,21786,2.0
95,21778,4.0
95,21899,1.0
95,21727,1.0
95,21783,1.0
95,21842,2.0
95,21862,1.0
95,21879,1.0
95,21630,1.0
96,21944,1.0
96,21635,1.0
96,21914,1.0
96,21786,1.0
96,21933,1.0
97,21633,1.0
97,21739,1.0
97,21899,2.0
97,21944,2.0
97,21922,1.0
97,21710,2.0
97,21934,2.0
97,21635,1.0
98,21635,6.0
98,21769,1.0
98,21720,1.0
98,21862,1.0
98,21872,1.0
98,21678,1.0
98,21934,1.0
98,21724,2.0
98,21815,1.0
98,21666,1.0
98,21891,1.0
98,21702,1.0
99,21886,1.0
99,21727,2.0
99,21842,1.0
99,21783,4.0
99,21635,3.0
99,21666,1.0
100,21753,1.0
100,21688,1.0
100,21708,1.0
101,21727,3.0
101,21635,10.0
101,21642,7.0
101,21918,16.0
101,21798,1.0
101,21604,1.0
101,21684,3.0
101,21688,10.0
101,21898,25.0
101,21779,2.0
101,21771,1.0
101,21630,1.0
101,21733,4.0
101,21797,14.0
101,21711,1.0
101,21787,1.0
101,21842,1.0
101,21835,1.0
101,21697,1.0
101,21892,2.0
101,21666,1.0
101,21783,9.0
101,21668,1.0
101,21763,4.0
101,21890,1.0
101,21749,1.0
101,21720,1.0
101,21678,6.0
101,21680,3.0
101,21671,3.0
101,21674,1.0
101,21645,5.0
101,21869,1.0
101,21667,1.0
101,21734,1.0
101,21815,1.0
101,21621,9.0
101,21739,1.0
101,21703,1.0
101,21638,1.0
101,21840,2.0
101,21744,1.0
101,21752,1.0
101,21750,1.0
101,21772,1.0
101,21782,1.0
101,21718,1.0
101,21812,1.0
101,21867,1.0
102,21779,1.0
102,21918,2.0
102,21739,44.0
102,21933,3.0
102,21705,1.0
102,21934,3.0
102,21637,2.0
102,21630,8.0
102,21862,1.0
102,21786,1.0
102,21944,3.0
102,21907,1.0
102,21666,2.0
102,21738,1.0
102,21635,2.0
103,21635,1.0
103,21886,4.0
103,21666,1.0
103,21641,1.0
103,21914,2.0
103,21609,1.0
104,21635,4.0
104,21753,14.0
104,21733,1.0
104,21779,1.0
104,21815,2.0
104,21888,1.0
104,21739,1.0
104,21826,1.0
104,21811,1.0
104,21715,1.0
104,21836,1.0
104,21862,1.0
104,21688,1.0
104,21645,1.0
104,21890,1.0
104,21944,1.0
104,21914,2.0
104,21738,1.0
104,21728,1.0
104,21856,1.0
104,21630,1.0
104,21674,1.0
105,21931,31.0
105,21635,7.0
105,21783,8.0
105,21891,1.0
105,21752,2.0
105,21820,2.0
105,21886,4.0
105,21918,1.0
105,21786,2.0
105,21666,1.0
105,21678,1.0
105,21944,1.0
106,21835,3.0
106,21737,1.0
106,21944,10.0
106,21609,1.0
106,21652,2.0
106,21779,1.0
107,21898,51.0
107,21666,1.0
107,21835,4.0
107,21783,16.0
107,21630,1.0
107,21635,13.0
107,21672,14.0
107,21753,1.0
107,21734,1.0
107,21688,2.0
107,21892,1.0
108,21627,1.0
108,21686,1.0
108,21713,1.0
108,21609,2.0
108,21666,1.0
108,21944,2.0
108,21727,1.0
108,21733,1.0
108,21922,2.0
108,21886,2.0
108,21720,1.0
108,21739,1.0
109,21783,1.0
109,21855,1.0
109,21630,1.0
109,21737,1.0
110,21757,1.0
110,21748,2.0
110,21718,5.0
110,21635,10.0
110,21842,1.0
110,21653,1.0
110,21835,1.0
110,21783,1.0
110,21640,4.0
110,21879,2.0
110,21715,1.0
110,21739,2.0
110,21710,1.0
110,21678,1.0
110,21931,1.0
110,21871,1.0
110,21645,1.0
111,21820,2.0
111,21638,3.0
111,21797,1.0
111,21928,2.0
111,21666,3.0
111,21748,2.0
111,21779,2.0
111,21891,1.0
111,21833,3.0
111,21899,2.0
111,21733,2.0
111,21669,1.0
111,21857,1.0
111,21645,2.0
111,21898,3.0
111,21944,1.0
111,21763,1.0
111,21914,1.0
111,21841,1.0
111,21705,2.0
111,21739,15.0
111,21642,1.0
111,21720,1.0
111,21635,1.0
111,21662,1.0
112,21703,1.0
112,21635,1.0
112,21630,1.0
112,21688,2.0
112,21697,3.0
112,21752,1.0
112,21720,1.0
112,21659,1.0
113,21944,2.0
113,21635,1.0
114,21805,2.0
114,21891,1.0
114,21879,1.0
114,21834,1.0
114,21798,1.0
114,21625,2.0
114,21635,2.0
114,21667,1.0
114,21857,2.0
114,21823,2.0
114,21783,1.0
114,21678,1.0
114,21739,9.0
114,21944,1.0
114,21862,2.0
114,21720,1.0
114,21842,4.0
114,21653,2.0
114,21836,1.0
114,21753,1.0
114,21759,1.0
114,21730,1.0
114,21705,1.0
114,21780,2.0
114,21934,2.0
114,21875,1.0
114,21673,1.0
114,21666,2.0
114,21688,1.0
114,21884,1.0
114,21809,1.0
114,21914,1.0
114,21817,1.0
114,21723,1.0
114,21733,1.0
115,21763,1.0
115,21874,1.0
115,21783,1.0
115,21630,1.0
115,21619,1.0
115,21625,1.0
115,21782,1.0
116,21934,23.0
116,21933,1.0
116,21678,3.0
116,21753,13.0
116,21944,2.0
116,21645,1.0
116,21886,1.0
117,21630,1.0
117,21710,1.0
118,21934,2.0
118,21678,2.0
118,21933,12.0
118,21635,2.0
118,21782,1.0
118,21763,1.0
118,21886,5.0
118,21836,2.0
118,21753,9.0
118,21815,2.0
118,21914,1.0
118,21647,1.0
118,21667,2.0
118,21891,1.0
118,21739,1.0
118,21654,1.0
118,21609,1.0
118,21769,2.0
118,21842,4.0
118,21772,2.0
118,21704,1.0
118,21862,1.0
118,21688,1.0
118,21640,2.0
119,21627,1.0
119,21635,8.0
119,21666,2.0
119,21620,1.0
119,21820,4.0
119,21678,1.0
119,21871,1.0
119,21748,2.0
119,21757,2.0
119,21790,1.0
119,21798,1.0
119,21752,2.0
119,21925,1.0
119,21688,1.0
119,21933,1.0
119,21786,1.0
119,21715,1.0
119,21862,2.0
119,21640,1.0
119,21944,1.0
120,21635,2.0
120,21899,1.0
120,21925,1.0
120,21944,3.0
120,21840,1.0
120,21609,2.0
120,21739,2.0
120,21718,1.0
120,21630,2.0
121,21688,6.0
121,21666,1.0
121,21635,2.0
121,21645,1.0
121,21609,1.0
122,21635,1.0
122,21809,1.0
122,21933,2.0
122,21817,1.0
122,21609,1.0
122,21944,1.0
122,21787,1.0
122,21786,2.0
122,21815,1.0
122,21819,1.0
122,21757,1.0
122,21836,1.0
122,21678,1.0
122,21879,1.0
122,21653,1.0
122,21931,1.0
123,21842,17.0
123,21820,14.0
123,21667,1.0
123,21935,6.0
123,21922,1.0
123,21630,1.0
123,21783,1.0
123,21635,3.0
123,21834,1.0
123,21666,2.0
123,21757,1.0
123,21879,1.0
123,21759,1.0
124,21779,1.0
124,21944,1.0
124,21635,1.0
125,21899,1.0
125,21879,1.0
125,21779,1.0
125,21886,1.0
126,21898,29.0
126,21645,2.0
126,21713,1.0
126,21715,1.0
126,21918,19.0
126,21666,1.0
126,21635,3.0
126,21764,1.0
126,21753,1.0
126,21609,3.0
126,21944,1.0
126,21815,1.0
126,21757,1.0
126,21640,1.0
127,21728,1.0
127,21739,10.0
127,21886,7.0
127,21944,4.0
127,21635,2.0
127,21695,1.0
127,21898,1.0
127,21835,1.0
128,21914,1.0
128,21635,4.0
128,21933,5.0
128,21879,1.0
128,21886,4.0
128,21640,2.0
128,21678,1.0
128,21739,1.0
128,21752,4.0
128,21944,1.0
128,21934,2.0
128,21666,1.0
128,21748,1.0
128,21630,3.0
128,21786,1.0
128,21898,1.0
128,21825,1.0
128,21731,1.0
128,21834,1.0
128,21785,1.0
128,21738,4.0
128,21884,1.0
128,21771,1.0
128,21708,2.0
128,21829,1.0
128,21688,1.0
128,21928,1.0
128,21783,2.0
128,21899,1.0
128,21790,1.0
129,21688,1.0
129,21862,1.0
129,21879,1.0
129,21609,1.0
129,21630,1.0
130,21738,1.0
131,21652,1.0
132,21944,1.0
132,21666,1.0
132,21678,1.0
133,21630,4.0
133,21862,5.0
133,21835,1.0
133,21738,1.0
133,21739,1.0
133,21829,1.0
133,21934,2.0
133,21635,2.0
133,21710,1.0
134,21678,1.0
134,21857,8.0
134,21754,1.0
134,21944,5.0
134,21618,1.0
134,21926,1.0
134,21713,1.0
134,21914,1.0
134,21659,1.0
134,21710,1.0
134,21666,1.0
135,21727,1.0
135,21813,1.0
135,21923,1.0
135,21757,1.0
135,21635,3.0
135,21666,1.0
136,21835,3.0
136,21635,15.0
136,21630,6.0
136,21934,5.0
136,21898,2.0
136,21872,1.0
136,21666,1.0
136,21757,3.0
136,21811,1.0
136,21944,2.0
136,21857,4.0
136,21890,1.0
136,21771,1.0
136,21891,4.0
136,21862,1.0
136,21682,1.0
136,21928,1.0
136,21918,3.0
136,21688,1.0
136,21787,2.0
136,21779,1.0
136,21783,1.0
137,21862,8.0
137,21918,8.0
137,21666,6.0
137,21678,5.0
137,21933,7.0
137,21890,1.0
137,21928,1.0
137,21820,1.0
137,21635,3.0
137,21715,1.0
137,21770,1.0
137,21857,2.0
137,21688,1.0
137,21783,1.0
137,21880,1.0
137,21835,1.0
138,21885,1.0
138,21921,2.0
138,21784,1.0
138,21944,1.0
138,21763,4.0
138,21774,2.0
138,21713,1.0
138,21862,1.0
138,21642,1.0
138,21727,1.0
138,21815,1.0
138,21630,3.0
139,21862,1.0
139,21619,1.0
139,21841,1.0
139,21739,2.0
139,21815,2.0
139,21833,4.0
139,21795,1.0
139,21678,1.0
139,21934,1.0
139,21944,11.0
139,21638,1.0
139,21879,1.0
