user,poi,delta_times
83,7007,1.0
83,17050,1.0
83,18414,1.0
83,8579,1.0
84,17995,1.0
84,10962,1.0
84,18299,1.0
84,13175,1.0
84,14889,1.0
84,7653,1.0
84,17744,2.0
84,10952,1.0
84,18975,1.0
85,14532,2.0
85,16104,1.0
85,13758,1.0
85,10568,1.0
85,13034,1.0
85,19315,1.0
85,8839,1.0
85,20396,1.0
85,12004,1.0
85,13043,1.0
85,9238,1.0
85,12511,1.0
86,11470,1.0
86,15461,1.0
86,13746,1.0
86,20069,1.0
86,17920,1.0
86,16224,1.0
86,12928,1.0
86,8839,1.0
86,14904,1.0
86,18744,1.0
86,14559,1.0
86,17052,1.0
86,14073,1.0
86,21268,2.0
86,10952,1.0
86,13319,1.0
86,16983,2.0
86,9946,1.0
86,19512,2.0
86,18606,3.0
86,19679,1.0
86,9238,1.0
86,11601,1.0
86,12216,1.0
86,8069,1.0
86,14536,1.0
86,16294,2.0
86,13890,1.0
86,13043,1.0
86,18197,1.0
86,15528,1.0
86,16891,1.0
86,19526,1.0
86,10516,2.0
86,16358,2.0
86,13785,1.0
87,18917,1.0
87,19673,2.0
88,14103,7.0
88,7319,18.0
88,15988,14.0
88,18199,1.0
88,10015,1.0
88,18094,1.0
88,19537,1.0
88,19450,1.0
88,10530,1.0
88,10746,1.0
88,18752,1.0
89,15365,3.0
89,9238,1.0
89,19419,1.0
89,20334,1.0
89,21432,1.0
89,14124,1.0
89,15436,1.0
90,8781,1.0
90,20505,1.0
90,19383,1.0
91,20260,1.0
91,12378,1.0
91,21414,1.0
91,16747,1.0
91,16249,1.0
91,15334,1.0
91,8760,1.0
92,12956,1.0
92,19168,4.0
92,11909,1.0
92,12250,2.0
92,13078,2.0
92,13837,2.0
92,8904,6.0
92,21287,3.0
92,7491,7.0
92,15523,1.0
92,20102,2.0
92,12566,1.0
92,19204,7.0
92,20769,1.0
92,7715,1.0
92,7794,7.0
92,15134,2.0
92,10188,1.0
92,12324,1.0
92,16164,2.0
92,9553,1.0
92,13566,1.0
93,20210,1.0
93,14124,2.0
93,8189,1.0
93,18475,1.0
93,13959,1.0
93,7661,1.0
93,9185,1.0
93,11125,1.0
93,17016,1.0
93,15036,1.0
93,20426,1.0
94,12410,8.0
94,17598,2.0
94,7398,1.0
94,14584,3.0
94,8784,1.0
94,9199,1.0
94,20685,5.0
94,8355,1.0
94,18383,3.0
94,11136,1.0
94,13063,1.0
94,21090,1.0
94,10652,1.0
94,20547,2.0
94,19622,1.0
94,12086,1.0
94,19299,1.0
94,8568,1.0
94,11844,1.0
94,18890,2.0
94,16300,1.0
94,17203,1.0
94,17691,1.0
94,20458,1.0
94,18641,1.0
94,15385,1.0
94,14521,1.0
94,16246,1.0
94,8580,1.0
94,19801,2.0
94,8837,1.0
94,15193,2.0
94,7807,1.0
94,14560,1.0
94,18490,1.0
95,8015,4.0
95,20687,1.0
95,8041,1.0
95,14882,1.0
95,7678,1.0
95,17813,5.0
95,21184,1.0
95,8562,1.0
95,9933,1.0
95,19315,1.0
95,8484,1.0
95,13252,5.0
95,10619,1.0
95,9946,1.0
95,11601,3.0
95,16410,1.0
95,9362,1.0
95,14804,1.0
95,15124,1.0
95,18723,1.0
95,19000,1.0
95,10655,1.0
95,7989,2.0
95,6975,1.0
95,7535,1.0
95,9827,1.0
96,8517,1.0
96,7968,1.0
96,8375,1.0
96,19605,1.0
96,16655,1.0
97,15552,1.0
97,12357,1.0
97,16176,1.0
97,14873,1.0
97,11944,1.0
97,8918,2.0
97,8517,1.0
97,14070,1.0
97,13853,1.0
97,14534,1.0
97,20314,1.0
98,18113,4.0
98,14420,1.0
98,18759,2.0
98,7276,1.0
98,18872,1.0
98,18098,1.0
98,7149,1.0
98,20127,1.0
98,15982,1.0
98,10496,1.0
98,10254,1.0
98,15668,1.0
98,15446,1.0
98,18670,1.0
99,16747,1.0
99,10851,2.0
99,11539,1.0
99,12334,1.0
99,8103,1.0
99,9245,2.0
99,13531,2.0
99,12164,1.0
99,10231,1.0
100,13300,1.0
100,12438,1.0
100,12337,1.0
101,10787,2.0
101,15715,4.0
101,20866,5.0
101,16989,1.0
101,16673,1.0
101,17446,1.0
101,13448,1.0
101,15689,3.0
101,12562,2.0
101,13295,5.0
101,18133,8.0
101,12701,2.0
101,13003,1.0
101,16601,4.0
101,9981,1.0
101,20460,1.0
101,14529,11.0
101,18382,11.0
101,15173,1.0
101,10958,2.0
101,13734,1.0
101,10129,1.0
101,15234,1.0
101,13679,3.0
101,11847,1.0
101,12173,2.0
101,7891,1.0
101,18268,1.0
101,20434,4.0
101,19560,2.0
101,12968,1.0
101,13867,3.0
101,14203,1.0
101,15378,2.0
101,12506,1.0
101,16622,1.0
101,7799,2.0
101,14589,1.0
101,15613,1.0
101,7893,1.0
101,14460,6.0
101,16175,3.0
101,14980,2.0
101,20756,1.0
101,11189,2.0
101,14753,3.0
101,10111,1.0
101,7047,1.0
101,8610,4.0
101,8913,1.0
101,10911,3.0
101,7904,1.0
101,19149,1.0
101,7845,1.0
101,16490,3.0
101,16789,1.0
101,8237,4.0
101,11947,2.0
101,7608,1.0
101,8174,1.0
101,13592,1.0
101,10288,1.0
101,17440,1.0
101,7222,1.0
101,14053,1.0
101,16161,1.0
101,20208,1.0
101,21556,1.0
101,14476,1.0
101,18594,1.0
101,16066,1.0
101,20138,1.0
101,12055,1.0
101,20377,1.0
101,14054,1.0
101,16973,1.0
101,11417,1.0
101,15642,1.0
101,7156,1.0
101,13092,1.0
101,10709,2.0
101,10972,2.0
101,7046,1.0
101,11190,1.0
101,16556,1.0
102,18471,1.0
102,15391,1.0
102,8462,44.0
102,11293,1.0
102,15740,1.0
102,19419,1.0
102,21311,2.0
102,14627,2.0
102,7002,3.0
102,16189,1.0
102,16896,1.0
102,8444,2.0
102,14343,2.0
102,10952,1.0
102,11710,1.0
102,18606,1.0
102,11961,1.0
102,13500,1.0
102,11720,1.0
102,20109,1.0
102,13310,1.0
102,12828,1.0
102,13334,1.0
102,11072,1.0
102,8854,1.0
102,10711,1.0
103,20270,1.0
103,15720,1.0
103,7309,1.0
103,19177,1.0
103,9232,3.0
103,17936,1.0
103,18835,1.0
103,10332,1.0
104,7968,2.0
104,17638,4.0
104,8290,1.0
104,7062,1.0
104,20067,2.0
104,18880,1.0
104,11113,1.0
104,12727,1.0
104,13991,2.0
104,11133,1.0
104,16619,4.0
104,19110,1.0
104,17889,2.0
104,19992,1.0
104,18749,1.0
104,12502,1.0
104,8816,1.0
104,7049,1.0
104,9425,1.0
104,9201,1.0
104,10344,1.0
104,14857,1.0
104,18376,1.0
104,7864,1.0
104,9642,1.0
104,21557,1.0
104,12988,1.0
104,8460,1.0
104,20485,1.0
104,10857,1.0
105,19355,31.0
