source_poi,target_poi,delta_times
21268,16983,1.0
12216,8069,2.0
13043,18197,1.0
14103,15988,1.0
15988,7319,10.0
7319,14103,1.0
14103,10015,8.0
12956,19168,1.0
7491,12566,1.0
19204,20769,1.0
19204,7491,1.0
10188,12324,1.0
20210,14124,1.0
17598,12410,1.0
9199,12410,1.0
20547,14584,1.0
14584,19622,1.0
19622,12086,1.0
12086,12410,1.0
18890,16300,1.0
18890,14521,2.0
17813,21184,1.0
21184,8562,1.0
10619,13252,1.0
11601,16410,1.0
14804,15124,1.0
17813,8015,1.0
8015,10655,1.0
7149,20127,1.0
11539,12334,1.0
9245,12164,1.0
16989,16673,1.0
16673,17446,1.0
17446,13448,1.0
12701,10787,1.0
20460,18133,1.0
10129,15234,1.0
13679,11847,1.0
11847,12173,1.0
12173,20866,1.0
15715,18382,1.0
18382,15689,1.0
20434,19560,19.0
19560,12968,1.0
18133,14529,3.0
15613,7893,1.0
16175,14460,1.0
14529,14980,1.0
14980,12562,1.0
11189,14753,1.0
15689,10111,1.0
14753,14980,1.0
14460,16601,1.0
16601,7047,1.0
8610,8913,1.0
13295,7904,1.0
7904,19149,1.0
7845,12173,1.0
12173,16490,1.0
16789,8610,1.0
8237,11947,1.0
11947,8237,1.0
7608,16490,1.0
16490,16175,1.0
20866,18382,1.0
18382,20866,1.0
20866,18133,1.0
14053,16161,1.0
18382,12055,2.0
12055,20377,1.0
18382,14460,1.0
16973,11417,1.0
15642,7156,1.0
7156,13092,1.0
18133,10911,1.0
8610,10709,1.0
16601,10709,1.0
16556,16490,1.0
18471,15391,1.0
15740,19419,1.0
8462,14627,1.0
14627,16189,1.0
16896,8444,1.0
8444,8462,1.0
18606,11961,7.0
18835,10332,1.0
17889,17638,1.0
12502,8816,1.0
15476,19355,1.0
15379,19355,2.0
19355,8189,1.0
8189,14532,1.0
19355,8157,1.0
19355,12385,1.0
19355,19940,1.0
12928,13847,5.0
13847,14806,1.0
14124,12766,5.0
7249,7070,1.0
12527,14998,1.0
9448,14998,2.0
9996,9448,1.0
13379,9868,1.0
14079,9448,1.0
21408,14998,1.0
8847,11243,1.0
9868,19432,1.0
13015,7769,1.0
7937,13253,1.0
14508,11210,1.0
19940,19065,2.0
13600,20256,1.0
19258,13829,1.0
11541,7468,1.0
9997,11681,1.0
9993,8473,1.0
16572,15684,1.0
9993,16702,1.0
7580,8445,1.0
20648,18748,1.0
21538,12175,1.0
19673,12142,1.0
13115,20888,1.0
16229,14601,1.0
8930,12810,1.0
8331,20428,1.0
11369,10568,2.0
12749,21290,2.0
20542,8719,2.0
16358,13785,1.0
7816,15660,3.0
19605,15057,3.0
13342,7396,2.0
13342,21192,2.0
13525,21192,1.0
16793,21492,1.0
13277,16319,1.0
9325,13277,5.0
13277,10140,1.0
9325,12928,1.0
13277,16793,5.0
9325,16793,1.0
16793,12494,1.0
9325,12494,1.0
12494,13590,1.0
13590,16793,2.0
13277,13590,2.0
9325,21492,1.0
18294,12928,1.0
12928,14192,1.0
9840,15009,2.0
13880,16747,1.0
11369,16808,1.0
16808,8562,1.0
20560,13927,1.0
12445,20052,1.0
6995,11180,1.0
10785,14532,1.0
20334,15331,1.0
20037,17794,1.0
11357,17794,1.0
20694,11180,1.0
19866,7517,1.0
7517,11584,1.0
11853,10122,1.0
19315,15094,3.0
18865,9245,1.0
19419,11180,1.0
19315,7220,1.0
11546,15964,1.0
14131,11529,2.0
19645,7185,1.0
19645,6985,3.0
6985,20412,1.0
11072,19141,1.0
19645,19141,1.0
6985,15176,2.0
15176,10746,16.0
10746,8801,1.0
8801,8108,1.0
19141,8513,1.0
8189,20426,1.0
12846,21136,1.0
8132,16571,1.0
12511,7704,1.0
9923,14904,1.0
14904,9148,1.0
8725,13730,1.0
11975,17481,5.0
13012,13703,3.0
13085,16843,1.0
16747,14695,1.0
12385,16958,1.0
11588,11659,1.0
19198,8615,1.0
8615,21587,1.0
14653,13847,2.0
13847,11659,1.0
10665,15916,1.0
13333,15916,1.0
13144,8825,1.0
17985,19757,1.0
15916,10746,1.0
10746,11659,1.0
15916,8676,1.0
8069,8155,2.0
8155,16569,1.0
11659,15656,1.0
9238,7427,1.0
19229,9799,1.0
9240,12766,3.0
18616,19714,2.0
17744,12928,2.0
10699,12569,16.0
10699,9873,2.0
16178,12348,1.0
20009,9062,2.0
11707,13233,1.0
10699,9062,1.0
7968,10699,1.0
12569,9062,1.0
20635,7968,1.0
14571,17406,1.0
7010,12825,1.0
12928,20902,5.0
17744,12766,10.0
16802,8294,1.0
10481,14771,1.0
10292,14771,1.0
7054,16900,1.0
19183,8274,1.0
12932,18046,1.0
20492,10728,1.0
20492,9844,1.0
15544,12988,1.0
15544,20492,2.0
11959,15544,1.0
15200,20492,2.0
12988,15856,1.0
16178,16012,1.0
16012,16954,1.0
15116,9329,1.0
10117,20492,2.0
9844,15544,1.0
20486,20492,10.0
7835,18118,1.0
7567,7835,1.0
20486,16646,1.0
20009,14046,1.0
20486,15200,1.0
9104,17152,1.0
16236,18852,1.0
17103,15951,1.0
12766,18080,2.0
18080,18250,1.0
18080,20385,1.0
15240,19783,1.0
19783,10885,2.0
19869,17255,1.0
19783,21103,1.0
17298,7736,1.0
10885,16339,1.0
20834,17298,1.0
19783,20403,1.0
19869,19783,1.0
9238,15176,1.0
15176,18809,2.0
16269,15903,1.0
20889,14005,1.0
14005,14865,1.0
18923,15056,1.0
7031,16951,1.0
18548,16508,1.0
15529,13325,2.0
13325,15529,3.0
13325,15056,3.0
19255,7813,1.0
21416,9302,1.0
18194,9411,1.0
12511,15772,1.0
15772,14532,1.0
12401,19110,1.0
7968,17531,4.0
20059,11888,1.0
7385,9138,1.0
10239,16316,1.0
20823,18537,1.0
9797,21136,1.0
7968,10239,2.0
10677,7968,4.0
10675,11466,1.0
20803,10346,1.0
16677,8975,1.0
18784,11459,1.0
17744,14124,4.0
16802,18063,1.0
9918,14289,9.0
9918,13851,23.0
9918,10887,3.0
14289,10887,5.0
14289,13851,11.0
14289,19100,12.0
14289,9918,25.0
14289,12207,1.0
14289,15534,2.0
15534,12207,2.0
12207,13246,1.0
19100,11069,1.0
11069,10887,1.0
19239,9918,3.0
14289,14161,1.0
14161,19925,1.0
19925,13318,1.0
13318,13169,4.0
13169,12207,1.0
8262,13399,1.0
13399,12207,1.0
12207,15907,1.0
19925,12207,1.0
12207,15534,2.0
15534,14289,2.0
19100,10887,13.0
9918,19100,6.0
18958,15642,1.0
15642,13851,1.0
7227,8458,2.0
8458,19100,1.0
19779,13851,1.0
19239,14289,1.0
13851,13318,1.0
7227,13851,1.0
19239,10887,1.0
15866,18360,1.0
18360,19100,1.0
13169,15534,1.0
7416,13851,1.0
20671,10887,1.0
17360,10887,1.0
13851,10887,1.0
13851,9918,1.0
11074,13323,2.0
13323,15534,1.0
15534,19100,1.0
20968,9392,1.0
13246,15913,1.0
13246,21307,3.0
13246,13477,1.0
13477,11459,1.0
21439,13246,1.0
13246,11637,1.0
15907,13246,1.0
8587,9903,3.0
10057,12216,1.0
13722,18041,1.0
13093,12216,2.0
19730,20544,1.0
7149,10419,1.0
9645,15948,1.0
13847,12766,2.0
14625,13793,1.0
13793,9805,1.0
18399,21011,1.0
21011,8999,1.0
8999,12649,1.0
21525,10220,1.0
8564,18203,1.0
18203,14493,1.0
10220,20101,4.0
20101,11619,5.0
21525,16203,1.0
10220,21525,1.0
10220,21159,1.0
21525,13467,1.0
19902,16203,1.0
7968,12641,1.0
12641,11280,1.0
11280,9309,1.0
9309,12670,1.0
13124,9425,1.0
10220,18507,2.0
18507,20101,1.0
20101,11836,2.0
11836,13467,3.0
13467,16203,3.0
9875,7968,1.0
7968,8782,1.0
9075,16024,3.0
16024,10847,1.0
17445,10510,1.0
12206,12856,1.0
20707,16154,1.0
12928,20510,3.0
9786,13418,1.0
8517,7340,1.0
11706,16294,1.0
16511,20823,1.0
8540,11675,1.0
19457,13342,1.0
14255,21083,3.0
11640,11173,1.0
18770,14581,17.0
14581,21283,2.0
12993,19256,1.0
15639,18590,3.0
18590,7019,1.0
19673,8517,1.0
14103,19472,4.0
13473,11378,1.0
10887,11069,1.0
11069,19100,1.0
10887,14289,1.0
11074,9483,2.0
10887,15907,1.0
18694,18835,2.0
18835,20095,1.0
19255,16231,1.0
12866,10116,1.0
17776,8963,2.0
8963,17776,1.0
17776,15754,1.0
12866,16178,3.0
16178,10116,1.0
18822,8963,1.0
16178,12866,5.0
18822,12866,1.0
18822,10116,1.0
8963,11941,1.0
17776,10116,1.0
12996,21344,2.0
18363,11084,1.0
19185,18010,1.0
8517,17471,2.0
17471,7514,1.0
13730,20166,1.0
9104,19675,1.0
9104,11933,1.0
11595,9104,3.0
9104,11595,1.0
10443,14782,1.0
9104,15103,1.0
15103,12988,1.0
9104,11251,1.0
11251,9104,1.0
9104,16725,1.0
8517,16805,3.0
15630,8517,1.0
15911,16178,8.0
16178,15684,1.0
15684,15541,1.0
16178,20428,2.0
20428,15180,1.0
19234,9380,1.0
14830,15303,1.0
15303,12985,1.0
12985,13119,1.0
11721,17356,1.0
17356,18957,1.0
10146,15315,1.0
10698,8079,1.0
7422,16532,1.0
16791,20904,5.0
11601,19940,1.0
12044,12537,1.0
15678,16150,1.0
21169,17050,1.0
11848,17561,1.0
11848,11890,1.0
15797,11890,2.0
16142,17561,1.0
17561,11890,2.0
11426,15929,1.0
15929,11426,1.0
18041,12480,4.0
9799,14508,1.0
16007,9799,1.0
21170,18041,1.0
15388,11717,1.0
11717,10410,1.0
10410,13926,1.0
12216,9359,1.0
9359,12216,1.0
12216,16552,3.0
13764,12216,1.0
12216,13040,1.0
12725,12161,1.0
18041,14346,1.0
12216,10057,3.0
11158,9803,1.0
9081,8880,1.0
19419,16949,1.0
8189,16307,6.0
20982,13520,1.0
9303,13520,1.0
16747,12385,1.0
13520,7646,1.0
17222,20167,1.0
11659,17462,1.0
16806,11659,1.0
8820,14995,4.0
14995,20069,1.0
17384,6976,1.0
8981,13655,1.0
13847,17839,1.0
17839,13520,1.0
16402,15021,1.0
9238,8638,3.0
17910,11659,1.0
13520,11659,1.0
15021,14337,1.0
14337,13520,1.0
20069,13520,1.0
9240,20096,2.0
20096,16606,2.0
7249,16747,1.0
13520,9238,1.0
12385,9611,6.0
9611,8454,1.0
18532,8041,2.0
16375,14026,1.0
11369,19074,1.0
19141,18167,1.0
16747,8041,1.0
16734,9868,1.0
9516,10248,3.0
18041,13677,2.0
19389,8404,2.0
8404,10348,3.0
10348,17107,3.0
20063,15002,2.0
8587,21435,2.0
15002,18041,3.0
15002,7302,1.0
9841,12690,1.0
12690,11455,1.0
13730,14809,3.0
9841,10150,1.0
18606,16731,1.0
7249,18511,1.0
12404,14510,1.0
18782,11211,1.0
12988,19605,1.0
13607,14300,1.0
18859,14829,1.0
10358,17513,1.0
18767,11445,1.0
12956,16088,1.0
16088,19235,1.0
19235,21592,1.0
8602,17583,1.0
17583,20715,2.0
12165,20715,1.0
16562,12725,1.0
12725,20715,2.0
20715,12165,1.0
12165,14410,1.0
14410,10768,1.0
10768,17583,1.0
14627,12725,1.0
8197,12725,1.0
11196,8197,1.0
8197,21592,1.0
12725,13730,1.0
13730,20715,1.0
17750,20715,1.0
16136,16562,1.0
21592,20715,1.0
12725,8197,2.0
11144,14310,1.0
12956,13078,1.0
13078,7491,1.0
7246,19235,2.0
19235,20715,1.0
16340,17302,1.0
17302,10952,1.0
15871,10952,1.0
16136,20715,1.0
16562,16396,1.0
8069,20715,1.0
9240,20715,1.0
15700,14310,1.0
8361,16562,1.0
16136,13730,1.0
8361,16136,1.0
13473,14103,1.0
18473,21459,1.0
7289,16165,2.0
16165,17400,2.0
17400,18835,2.0
7473,13342,1.0
21268,8721,1.0
18153,18342,1.0
9081,11546,1.0
18606,16314,1.0
16314,18606,2.0
18606,16410,1.0
20530,16949,1.0
17015,18153,1.0
18606,12766,16.0
12928,8190,2.0
14103,20014,2.0
11365,19702,1.0
21459,18473,1.0
8517,8085,5.0
8517,20389,6.0
20244,18209,4.0
8806,11627,7.0
16721,9874,1.0
9874,16154,1.0
14422,11627,1.0
16294,15550,2.0
15550,7278,3.0
10140,12807,1.0
8367,13650,1.0
19240,9767,1.0
11418,19240,1.0
14103,18029,1.0
10097,19537,1.0
9209,8478,1.0
18417,9279,1.0
18094,12380,1.0
20118,12194,1.0
20624,19976,1.0
15892,8384,2.0
17932,7476,1.0
16483,16375,1.0
16855,20215,1.0
20724,12334,1.0
14124,16125,4.0
7739,20821,1.0
11788,20821,1.0
15772,18659,1.0
11787,14361,3.0
11539,7989,1.0
12334,15164,2.0
7218,19474,1.0
19474,11072,1.0
11072,18744,14.0
9245,20530,12.0
13331,20724,5.0
10603,18606,1.0
8615,16154,1.0
14922,7968,1.0
20768,21536,1.0
17442,7968,1.0
17670,11025,1.0
17503,18224,1.0
18046,15739,1.0
20983,15739,1.0
11072,19474,1.0
15550,11361,1.0
18606,11626,1.0
10846,8360,1.0
19605,7267,3.0
13367,20153,1.0
20153,12503,1.0
12503,20153,1.0
14124,17753,1.0
8711,8449,1.0
8181,11507,1.0
18479,12258,1.0
12258,13406,1.0
11287,13406,1.0
11507,7968,9.0
7968,12642,1.0
12642,17511,1.0
17511,18381,1.0
12988,16725,9.0
7361,16963,1.0
16963,14449,1.0
7398,11737,1.0
11737,15867,1.0
15062,15489,1.0
7672,21414,1.0
14886,13767,1.0
20426,7404,1.0
7577,19506,1.0
7342,19618,1.0
19896,8413,1.0
8413,8342,2.0
19397,7542,1.0
16456,13253,1.0
20902,14124,4.0
11961,18437,1.0
10076,7591,1.0
13034,7649,1.0
20069,13890,1.0
13890,16224,1.0
15455,19273,1.0
11072,15881,1.0
12998,19419,1.0
10545,9171,1.0
10340,19507,1.0
14717,12092,1.0
7169,12919,1.0
11429,13127,2.0
10842,12417,1.0
8938,18578,1.0
18578,16465,1.0
8190,11394,8.0
15085,17744,1.0
17744,7527,1.0
13172,16540,1.0
10346,8355,1.0
11314,17272,1.0
7909,12591,1.0
19004,18227,1.0
18227,10746,1.0
10746,10334,1.0
10334,8801,1.0
8820,13758,2.0
13758,16747,1.0
16747,13927,1.0
13927,11429,1.0
10094,17720,1.0
17720,16891,1.0
14156,20484,1.0
18941,9895,1.0
9895,9245,1.0
9245,17129,3.0
18866,14124,1.0
10462,13324,2.0
21414,9173,1.0
10319,18245,1.0
18245,15929,1.0
15102,14627,1.0
14124,15549,1.0
21414,8175,2.0
9836,7526,1.0
7526,14103,1.0
10265,7350,1.0
9836,10442,2.0
7350,13278,1.0
9836,19537,1.0
10265,18786,1.0
10265,9836,1.0
8190,7350,1.0
9836,14103,1.0
14484,18079,1.0
18079,17142,1.0
10650,19672,1.0
10418,8587,1.0
9240,7279,2.0
7279,19154,1.0
12622,10021,1.0
8587,10021,1.0
13686,21414,1.0
20583,11760,1.0
21284,17051,1.0
12259,13611,3.0
13611,19070,2.0
14521,14584,1.0
7451,11424,5.0
12078,16842,1.0
15943,18540,1.0
10618,12863,1.0
18342,10618,1.0
12511,14532,2.0
14532,18989,1.0
15677,8591,1.0
17063,13645,1.0
18574,16793,1.0
15677,19240,1.0
16747,14627,3.0
16747,18809,1.0
16224,9238,1.0
9238,8444,4.0
9238,16747,1.0
7473,17010,1.0
9238,19087,1.0
15176,10647,1.0
10647,13965,1.0
8341,18744,1.0
18744,17985,1.0
10617,9856,1.0
8041,9238,1.0
15176,16018,1.0
8444,9238,3.0
9238,16224,4.0
16224,12747,1.0
9238,20871,1.0
20871,17985,1.0
17985,15926,7.0
15926,13485,1.0
10746,12412,1.0
9920,16018,1.0
9920,9316,1.0
9316,15176,1.0
8233,9316,2.0
9316,9920,1.0
9920,8233,1.0
11072,8444,1.0
8378,16224,1.0
16375,8444,2.0
8444,7473,1.0
9240,21460,1.0
15445,10612,1.0
12165,13730,1.0
15060,7868,3.0
7868,16709,1.0
20268,20250,1.0
20250,16299,1.0
17603,7128,1.0
11854,16203,2.0
16203,13205,1.0
17603,16203,16.0
11854,16417,1.0
11515,17603,1.0
16203,11515,3.0
13205,17603,1.0
20502,7128,1.0
16203,18118,1.0
15417,19430,1.0
19430,12646,1.0
7239,18919,1.0
20624,14644,1.0
14644,10442,1.0
10442,15098,1.0
15098,8044,1.0
10650,14644,2.0
11120,13278,1.0
8190,10610,1.0
10650,20624,1.0
16876,10625,1.0
16781,12811,1.0
10044,9047,1.0
8427,10758,2.0
21038,17022,1.0
12641,20428,1.0
18872,21038,1.0
21038,19258,1.0
19258,21571,1.0
21571,8425,1.0
21038,16352,1.0
19163,21397,1.0
9895,15795,1.0
7289,18174,1.0
18695,7999,1.0
12866,9423,1.0
9423,17070,1.0
14943,20786,1.0
13231,14219,1.0
11619,18535,1.0
18535,15806,3.0
15806,11854,1.0
16203,14453,1.0
14453,17026,1.0
16081,15175,2.0
12978,15812,1.0
15812,11159,1.0
15906,16203,1.0
16203,20101,4.0
14503,20101,1.0
20101,11159,1.0
11159,15806,1.0
15806,11619,2.0
13182,18535,1.0
18535,8267,5.0
8267,15906,7.0
15906,14541,1.0
14541,11159,2.0
8267,15806,1.0
18535,14541,10.0
14541,15906,5.0
15906,15812,3.0
15812,15906,1.0
15906,18535,3.0
15812,18535,5.0
18535,11619,1.0
11619,16086,1.0
16086,12358,1.0
15175,20101,3.0
18535,15812,3.0
15812,11619,1.0
16203,18535,1.0
15906,11159,3.0
11159,15906,1.0
15812,10521,1.0
10521,13699,1.0
13699,15806,1.0
15806,15906,2.0
15906,9900,1.0
9900,15806,1.0
15906,8267,2.0
16203,15175,1.0
15175,15806,1.0
15806,8267,1.0
11619,20101,2.0
20101,15175,2.0
15812,14541,1.0
15812,8267,2.0
19166,11209,1.0
11209,15806,2.0
14219,20101,1.0
10843,14879,1.0
14879,15812,1.0
15812,18788,1.0
18788,15598,1.0
15598,14257,1.0
11159,11619,1.0
11619,14936,1.0
15906,15806,4.0
18535,13699,1.0
13699,20101,1.0
15806,12978,1.0
18479,7968,2.0
18535,20101,1.0
16773,7879,1.0
20101,19934,1.0
19934,7968,1.0
11619,12141,1.0
12141,13572,1.0
13572,12171,1.0
12171,16203,1.0
18148,7968,18.0
18961,11619,1.0
11212,18479,1.0
11619,18479,2.0
18479,20681,3.0
10139,18479,1.0
20573,13893,1.0
13231,13436,1.0
13699,10521,1.0
10521,18479,1.0
18479,20101,1.0
15175,13467,1.0
15806,18535,3.0
11619,16138,1.0
16138,14453,1.0
18456,20101,1.0
7968,11619,1.0
11619,16993,1.0
16993,15315,2.0
15315,16993,1.0
14783,18479,1.0
8181,10146,1.0
20324,10146,1.0
10146,15175,1.0
18179,18575,1.0
8181,20324,1.0
20324,18179,1.0
18179,21371,1.0
10146,18646,1.0
18646,7968,1.0
7968,8274,19.0
8274,8181,1.0
11212,14783,1.0
14783,16203,1.0
14581,7968,1.0
7968,15598,21.0
15598,9346,1.0
8751,15056,1.0
10076,8638,1.0
12998,9939,1.0
19286,14730,1.0
16555,7044,1.0
21268,9148,2.0
8157,6974,1.0
9148,12749,1.0
12749,18996,1.0
21311,9939,1.0
19004,13043,1.0
13043,13746,1.0
13746,18969,1.0
18969,10076,1.0
12385,10952,1.0
19940,9939,1.0
13746,8157,1.0
12913,6974,1.0
16544,12928,9.0
12928,18606,5.0
13746,19828,1.0
12766,14919,1.0
14845,18148,4.0
18148,20486,7.0
20486,15954,1.0
16032,18148,2.0
16032,20506,2.0
20506,18148,2.0
10635,19688,1.0
8190,12766,8.0
14682,13411,1.0
12766,9678,2.0
20472,15429,1.0
14124,16790,5.0
20334,8965,1.0
20272,15518,1.0
14131,20710,1.0
15675,21317,1.0
21317,19793,1.0
13732,12787,1.0
12787,16852,1.0
16852,13178,1.0
13178,15675,1.0
20832,16906,1.0
16906,15489,1.0
15489,10761,1.0
10491,14629,1.0
14629,16852,1.0
16852,7836,1.0
7836,10394,1.0
10394,7836,1.0
19793,7253,3.0
7253,7836,3.0
15675,7135,1.0
7135,12910,1.0
12910,14634,4.0
14634,12312,1.0
12312,10761,1.0
19842,7036,1.0
7036,17619,1.0
15675,19793,1.0
19793,15489,1.0
15489,19842,1.0
12611,12312,1.0
8992,14629,1.0
14629,16629,1.0
16629,13178,1.0
13178,11852,1.0
11852,9238,1.0
9238,20334,4.0
20334,20850,1.0
15675,21246,1.0
10761,7779,1.0
7779,16906,1.0
16906,19793,2.0
8446,7055,1.0
7055,14609,1.0
10761,19793,2.0
14131,10615,2.0
15675,16852,1.0
7249,9105,1.0
9105,19232,1.0
15675,10761,4.0
10761,14629,2.0
14629,19793,1.0
7836,13850,1.0
13850,16852,1.0
10761,17042,1.0
17042,19444,1.0
19444,7253,1.0
7253,16629,2.0
16629,10089,1.0
11852,11426,1.0
11426,20844,1.0
11426,13387,1.0
13387,7459,1.0
7459,16436,1.0
10761,16852,1.0
14629,7387,1.0
7387,10491,1.0
10761,12787,1.0
12312,19842,1.0
19171,19755,1.0
15432,18709,1.0
14131,19400,2.0
17619,7253,1.0
17791,17419,1.0
12312,13542,1.0
13542,14124,1.0
14124,20668,3.0
15675,12312,1.0
12312,7253,1.0
19444,19793,1.0
19793,7036,2.0
10761,12655,1.0
13804,7730,1.0
19797,13804,1.0
8992,12655,1.0
7249,20724,4.0
9400,10249,1.0
10249,7515,1.0
7515,19842,1.0
16294,18278,1.0
20244,17935,2.0
17935,12766,2.0
12766,11478,3.0
10761,16747,1.0
11067,21100,1.0
21100,15420,1.0
15420,17307,1.0
21263,14124,4.0
14124,12774,3.0
10098,7036,1.0
7253,12655,1.0
10761,7836,1.0
12655,10394,1.0
18118,15504,2.0
15580,19015,1.0
8517,20959,13.0
17744,18606,2.0
18606,19154,6.0
7466,7427,1.0
9245,8177,8.0
7139,7077,1.0
17845,19646,1.0
19596,10958,1.0
14141,19675,1.0
19675,14284,1.0
16725,12988,4.0
16915,19675,1.0
19675,18678,1.0
17560,10678,1.0
10678,11541,1.0
11541,19148,1.0
19148,19675,1.0
14646,15183,1.0
10990,9038,1.0
15219,14333,2.0
7738,7631,4.0
7631,8741,1.0
14333,20536,1.0
11390,15108,1.0
20334,11883,1.0
17199,13043,1.0
13043,11429,1.0
17880,8038,1.0
18095,7150,1.0
10686,14611,1.0
20039,7411,1.0
17194,20198,1.0
9376,9342,1.0
9342,16239,1.0
16239,9342,1.0
6962,10402,1.0
11400,8517,2.0
8517,14873,2.0
17563,7771,1.0
15932,14443,1.0
14873,10130,3.0
15864,18319,1.0
15462,17050,1.0
12592,8561,1.0
15630,8561,1.0
10627,16586,1.0
18181,15060,1.0
19978,18224,1.0
8212,15905,1.0
8517,8212,1.0
14403,8212,1.0
14257,21396,1.0
21396,20550,1.0
14879,16854,1.0
16854,20191,1.0
18483,16318,8.0
18961,10005,2.0
10005,17054,1.0
16318,17451,1.0
17451,17399,1.0
17399,14798,1.0
14798,9317,1.0
9317,8775,1.0
14152,19224,1.0
14214,21536,1.0
