poi,catg,delta_times
7265,21678,1.0
7982,21748,1.0
21356,21666,1.0
8165,21836,1.0
19328,21642,1.0
13754,21886,1.0
20044,21944,1.0
11964,21678,1.0
13248,21710,1.0
10683,21720,1.0
13345,21635,1.0
12576,21862,1.0
13296,21609,1.0
16966,21862,1.0
10800,21609,1.0
16131,21913,1.0
11228,21718,1.0
10766,21652,1.0
17139,21723,1.0
19719,21898,1.0
20452,21703,1.0
12349,21868,1.0
20393,21710,1.0
21458,21934,1.0
13569,21666,1.0
18110,21642,1.0
7340,21815,1.0
12988,21635,1.0
12872,21674,1.0
8563,21820,1.0
19482,21662,1.0
9875,21710,1.0
12119,21879,1.0
7883,21892,1.0
14758,21913,1.0
19749,21932,1.0
9243,21662,1.0
9769,21753,1.0
14257,21609,1.0
18206,21739,1.0
11374,21914,1.0
16301,21842,1.0
12526,21688,1.0
7321,21635,1.0
16010,21635,1.0
17480,21720,1.0
11314,21635,1.0
12581,21609,1.0
11136,21713,1.0
12107,21933,1.0
17871,21868,1.0
19790,21820,1.0
14759,21635,1.0
11203,21899,1.0
10314,21763,1.0
13549,21890,1.0
10834,21914,1.0
15385,21635,1.0
8038,21835,1.0
9503,21887,1.0
17175,21783,1.0
19154,21944,1.0
14449,21733,1.0
19458,21835,1.0
20427,21783,1.0
12766,21944,1.0
7850,21934,1.0
10584,21640,1.0
12805,21630,1.0
17289,21733,1.0
9437,21737,1.0
20093,21843,1.0
8064,21763,1.0
21081,21636,1.0
9727,21783,1.0
7193,21914,1.0
18155,21635,1.0
21265,21635,1.0
17197,21609,1.0
21582,21753,1.0
16688,21733,1.0
14869,21609,1.0
7925,21753,1.0
21270,21640,1.0
13881,21727,1.0
12235,21733,1.0
11506,21815,1.0
19012,21727,1.0
16073,21630,1.0
7249,21944,1.0
15070,21710,1.0
20423,21834,1.0
11507,21933,1.0
10956,21720,1.0
19185,21764,1.0
14954,21757,1.0
20312,21642,1.0
10173,21792,1.0
19873,21696,1.0
8876,21944,1.0
14087,21674,1.0
12710,21802,1.0
17447,21811,1.0
16957,21809,1.0
14158,21635,1.0
16417,21842,1.0
13343,21667,1.0
11800,21614,1.0
11086,21609,1.0
12668,21820,1.0
21483,21739,1.0
21159,21642,1.0
11422,21609,1.0
18846,21835,1.0
11027,21609,1.0
21052,21621,1.0
15123,21635,1.0
9947,21871,1.0
10425,21630,1.0
18836,21871,1.0
16180,21913,1.0
7665,21638,1.0
20187,21787,1.0
19718,21638,1.0
10815,21899,1.0
9790,21835,1.0
19242,21739,1.0
20885,21771,1.0
14453,21842,1.0
13912,21771,1.0
17860,21834,1.0
7568,21641,1.0
7690,21635,1.0
21414,21635,1.0
10605,21891,1.0
6956,21842,1.0
19655,21709,1.0
7646,21835,1.0
8145,21640,1.0
15455,21933,1.0
16983,21925,1.0
15537,21620,1.0
12933,21675,1.0
9766,21898,1.0
17699,21834,1.0
13641,21923,1.0
10185,21645,1.0
14796,21703,1.0
14045,21662,1.0
16494,21805,1.0
7107,21757,1.0
11739,21753,1.0
10876,21784,1.0
16093,21778,1.0
13366,21614,1.0
20314,21635,1.0
14480,21934,1.0
13313,21635,1.0
7074,21635,1.0
9546,21728,1.0
17563,21898,1.0
8831,21609,1.0
10924,21609,1.0
18367,21933,1.0
13637,21898,1.0
9918,21933,1.0
13657,21851,1.0
21439,21688,1.0
18114,21645,1.0
15470,21635,1.0
11459,21635,1.0
20212,21688,1.0
13318,21635,1.0
8634,21688,1.0
9237,21635,1.0
17944,21688,1.0
18874,21914,1.0
11804,21645,1.0
19323,21635,1.0
9877,21635,1.0
7451,21635,1.0
11074,21635,1.0
9240,21944,1.0
20418,21784,1.0
12366,21666,1.0
7737,21642,1.0
8137,21879,1.0
7627,21754,1.0
10863,21835,1.0
10122,21811,1.0
11280,21784,1.0
10215,21825,1.0
16749,21705,1.0
14769,21718,1.0
9642,21738,1.0
18081,21681,1.0
8627,21833,1.0
8164,21733,1.0
8216,21753,1.0
10688,21784,1.0
13579,21733,1.0
20064,21733,1.0
17153,21753,1.0
17323,21896,1.0
13084,21886,1.0
19124,21635,1.0
6961,21926,1.0
10483,21609,1.0
19866,21898,1.0
8449,21635,1.0
13262,21624,1.0
7572,21666,1.0
10211,21678,1.0
14790,21638,1.0
20004,21733,1.0
12278,21933,1.0
14446,21880,1.0
15846,21718,1.0
16639,21645,1.0
20831,21833,1.0
13367,21765,1.0
21371,21933,1.0
16511,21639,1.0
7005,21710,1.0
15671,21713,1.0
16854,21635,1.0
12781,21833,1.0
8126,21710,1.0
19856,21923,1.0
17426,21619,1.0
19799,21754,1.0
7498,21748,1.0
20425,21662,1.0
17017,21753,1.0
8880,21630,1.0
15926,21886,1.0
10711,21666,1.0
12030,21725,1.0
9404,21811,1.0
14787,21614,1.0
13526,21944,1.0
11470,21891,1.0
12523,21720,1.0
18585,21666,1.0
19674,21771,1.0
16526,21666,1.0
17946,21771,1.0
8911,21820,1.0
21154,21710,1.0
13703,21820,1.0
12141,21635,1.0
7847,21891,1.0
15739,21835,1.0
18008,21820,1.0
9455,21820,1.0
15184,21763,1.0
8974,21718,1.0
15074,21715,1.0
7143,21710,1.0
8957,21609,1.0
19500,21609,1.0
16843,21820,1.0
8539,21802,1.0
7360,21819,1.0
9959,21669,1.0
7462,21782,1.0
20994,21792,1.0
16400,21635,1.0
20560,21748,1.0
17878,21710,1.0
7273,21680,1.0
19171,21771,1.0
13319,21720,1.0
14159,21635,1.0
12511,21670,1.0
21475,21752,1.0
19688,21771,1.0
18399,21886,1.0
8096,21918,1.0
20585,21896,1.0
8139,21614,1.0
18519,21842,1.0
16568,21609,1.0
15797,21730,1.0
14025,21886,1.0
17146,21635,1.0
10225,21753,1.0
17969,21841,1.0
7169,21798,1.0
8837,21635,1.0
15695,21635,1.0
17293,21914,1.0
7048,21879,1.0
14215,21891,1.0
15842,21733,1.0
16760,21635,1.0
16963,21635,1.0
11822,21752,1.0
13975,21835,1.0
20889,21875,1.0
15705,21758,1.0
7031,21886,1.0
11927,21899,1.0
20067,21815,1.0
21226,21638,1.0
15402,21914,1.0
15315,21842,1.0
11630,21668,1.0
10895,21890,1.0
9163,21609,1.0
14520,21779,1.0
7762,21779,1.0
20450,21779,1.0
10372,21678,1.0
12561,21769,1.0
10678,21798,1.0
9005,21886,1.0
20009,21741,1.0
16408,21862,1.0
7049,21862,1.0
8689,21842,1.0
15598,21731,1.0
12391,21720,1.0
18118,21909,1.0
17060,21750,1.0
19682,21619,1.0
12262,21662,1.0
20582,21833,1.0
9252,21857,1.0
20904,21833,1.0
16108,21776,1.0
20823,21890,1.0
11641,21739,1.0
9646,21739,1.0
17481,21899,1.0
7007,21625,1.0
17219,21771,1.0
15207,21764,1.0
10770,21934,1.0
17809,21701,1.0
19945,21678,1.0
15299,21666,1.0
20636,21928,1.0
13798,21715,1.0
10148,21898,1.0
7210,21770,1.0
20576,21630,1.0
12075,21757,1.0
11902,21898,1.0
10140,21635,1.0
8716,21666,1.0
10334,21718,1.0
17260,21635,1.0
16708,21713,1.0
12606,21907,1.0
13369,21727,1.0
20257,21738,1.0
7944,21630,1.0
11198,21727,1.0
20385,21871,1.0
9179,21645,1.0
19744,21638,1.0
19675,21635,1.0
16346,21695,1.0
17512,21739,1.0
9451,21720,1.0
14862,21753,1.0
9329,21619,1.0
19970,21933,1.0
18872,21862,1.0
8248,21688,1.0
18143,21710,1.0
18875,21784,1.0
8853,21670,1.0
12737,21857,1.0
17467,21706,1.0
12085,21862,1.0
14504,21783,1.0
14239,21857,1.0
19712,21871,1.0
16308,21695,1.0
9688,21740,1.0
12003,21718,1.0
20492,21739,1.0
7835,21748,1.0
17857,21770,1.0
15498,21715,1.0
7776,21799,1.0
9093,21748,1.0
8997,21777,1.0
16702,21653,1.0
8036,21753,1.0
9079,21753,1.0
7771,21770,1.0
21002,21718,1.0
16636,21899,1.0
19364,21879,1.0
17410,21754,1.0
12221,21635,1.0
16174,21630,1.0
11323,21893,1.0
21425,21928,1.0
10040,21786,1.0
20485,21630,1.0
16642,21733,1.0
15348,21738,1.0
8528,21671,1.0
18090,21786,1.0
14086,21928,1.0
10313,21720,1.0
17623,21818,1.0
15515,21879,1.0
19908,21884,1.0
16585,21640,1.0
7000,21857,1.0
10867,21718,1.0
8576,21727,1.0
13342,21842,1.0
19668,21944,1.0
15721,21630,1.0
20902,21944,1.0
18477,21652,1.0
7491,21635,1.0
18217,21749,1.0
13668,21710,1.0
16543,21944,1.0
18437,21898,1.0
16522,21914,1.0
10746,21933,1.0
20102,21886,1.0
13479,21652,1.0
12636,21666,1.0
15857,21609,1.0
8562,21933,1.0
18714,21933,1.0
11863,21933,1.0
20936,21713,1.0
13600,21733,1.0
17839,21914,1.0
19773,21758,1.0
17688,21928,1.0
8176,21713,1.0
15260,21746,1.0
18718,21857,1.0
20171,21871,1.0
12724,21831,1.0
10299,21879,1.0
20121,21753,1.0
7566,21872,1.0
11955,21879,1.0
15115,21635,1.0
17804,21635,1.0
14443,21640,1.0
12188,21713,1.0
19187,21886,1.0
7575,21666,1.0
8834,21836,1.0
20161,21914,1.0
20746,21730,1.0
9384,21857,1.0
14324,21857,1.0
19992,21635,1.0
12358,21892,1.0
7364,21792,1.0
17933,21642,1.0
12798,21739,1.0
15668,21891,1.0
12077,21720,1.0
10117,21934,1.0
8425,21666,1.0
14352,21879,1.0
17409,21784,1.0
10748,21820,1.0
12206,21642,1.0
16716,21619,1.0
8007,21639,1.0
9997,21635,1.0
8894,21688,1.0
11603,21770,1.0
14973,21666,1.0
20357,21914,1.0
13020,21638,1.0
7254,21841,1.0
11154,21753,1.0
13663,21688,1.0
7118,21914,1.0
15856,21763,1.0
8393,21718,1.0
13454,21615,1.0
11247,21907,1.0
13643,21739,1.0
14126,21666,1.0
9873,21688,1.0
15911,21886,1.0
16725,21899,1.0
18788,21933,1.0
18148,21933,1.0
7166,21820,1.0
12031,21787,1.0
11724,21662,1.0
12881,21896,1.0
14907,21891,1.0
9844,21630,1.0
13467,21933,1.0
18381,21934,1.0
14651,21748,1.0
15684,21842,1.0
13893,21842,1.0
21218,21678,1.0
11479,21666,1.0
17939,21726,1.0
20310,21729,1.0
11671,21612,1.0
17700,21779,1.0
11000,21820,1.0
8445,21780,1.0
8368,21739,1.0
18993,21879,1.0
21143,21625,1.0
13701,21928,1.0
20681,21609,1.0
15936,21898,1.0
19213,21879,1.0
8665,21638,1.0
7407,21714,1.0
7032,21789,1.0
14179,21645,1.0
11031,21662,1.0
20768,21886,1.0
20191,21688,1.0
15175,21886,1.0
18226,21779,1.0
9238,21918,1.0
7724,21933,1.0
10429,21666,1.0
11970,21820,1.0
15624,21933,1.0
8365,21933,1.0
21374,21933,1.0
11626,21879,1.0
15297,21843,1.0
10377,21820,1.0
19410,21820,1.0
17501,21933,1.0
16375,21933,1.0
8341,21933,1.0
7466,21933,1.0
8727,21820,1.0
19694,21898,1.0
17975,21748,1.0
16404,21666,1.0
11508,21820,1.0
16591,21820,1.0
20226,21783,1.0
19419,21934,1.0
12061,21875,1.0
20069,21783,1.0
18222,21886,1.0
12590,21886,1.0
11112,21857,1.0
18983,21815,1.0
18191,21630,1.0
21072,21727,1.0
20185,21733,1.0
11416,21783,1.0
21499,21609,1.0
12835,21783,1.0
16127,21607,1.0
9777,21810,1.0
14495,21752,1.0
11358,21645,1.0
14424,21630,1.0
7898,21678,1.0
12711,21638,1.0
21161,21845,1.0
19496,21753,1.0
9484,21944,1.0
14125,21879,1.0
10813,21842,1.0
11942,21666,1.0
20606,21926,1.0
9229,21764,1.0
14036,21666,1.0
16495,21944,1.0
12746,21763,1.0
15319,21928,1.0
16084,21739,1.0
21557,21728,1.0
14266,21750,1.0
8331,21753,1.0
16561,21678,1.0
11001,21871,1.0
7802,21662,1.0
17422,21834,1.0
19184,21619,1.0
21162,21815,1.0
12723,21720,1.0
16098,21932,1.0
19955,21869,1.0
15237,21667,1.0
12604,21918,1.0
16252,21891,1.0
11156,21769,1.0
13025,21639,1.0
18198,21635,1.0
14022,21754,1.0
18561,21886,1.0
14349,21633,1.0
12674,21926,1.0
18598,21842,1.0
11469,21635,1.0
19752,21871,1.0
14001,21772,1.0
11108,21925,1.0
14143,21842,1.0
14454,21615,1.0
16967,21890,1.0
20140,21896,1.0
19658,21934,1.0
18208,21609,1.0
12655,21609,1.0
8249,21720,1.0
9923,21630,1.0
16958,21659,1.0
9024,21922,1.0
21358,21609,1.0
17288,21835,1.0
17081,21710,1.0
19235,21609,1.0
12759,21603,1.0
19683,21918,1.0
13847,21609,1.0
10326,21710,1.0
12326,21890,1.0
7080,21809,1.0
17222,21695,1.0
16410,21666,1.0
8820,21918,1.0
12445,21898,1.0
12683,21748,1.0
9939,21820,1.0
14765,21705,1.0
8155,21666,1.0
16299,21666,1.0
8501,21720,1.0
14075,21645,1.0
16493,21721,1.0
14669,21913,1.0
11412,21733,1.0
21109,21635,1.0
13863,21926,1.0
8072,21814,1.0
17489,21934,1.0
8153,21886,1.0
9119,21635,1.0
10896,21635,1.0
14737,21860,1.0
9172,21739,1.0
12855,21763,1.0
16352,21820,1.0
9126,21643,1.0
17693,21907,1.0
9298,21934,1.0
19541,21636,1.0
20163,21879,1.0
7588,21609,1.0
9876,21720,1.0
17246,21778,1.0
8736,21879,1.0
7942,21888,1.0
17364,21625,1.0
8236,21842,1.0
15161,21641,1.0
17050,21708,1.0
17995,21635,1.0
10962,21899,1.0
18299,21609,1.0
13175,21774,1.0
14889,21779,1.0
7653,21757,1.0
18975,21720,1.0
16104,21842,1.0
13758,21678,1.0
10568,21666,1.0
13034,21752,1.0
19315,21635,1.0
13043,21641,1.0
15461,21675,1.0
13746,21834,1.0
17920,21783,1.0
14904,21731,1.0
18744,21835,1.0
14559,21720,1.0
17052,21820,1.0
14073,21659,1.0
21268,21635,1.0
9946,21786,1.0
19512,21757,1.0
19679,21659,1.0
11601,21778,1.0
8069,21748,1.0
14536,21741,1.0
16294,21779,1.0
13890,21934,1.0
18197,21659,1.0
15528,21752,1.0
16891,21890,1.0
19526,21739,1.0
10516,21688,1.0
16358,21739,1.0
13785,21630,1.0
18917,21638,1.0
7319,21647,1.0
15988,21753,1.0
18199,21739,1.0
10015,21835,1.0
18094,21635,1.0
19537,21635,1.0
19450,21654,1.0
10530,21933,1.0
18752,21914,1.0
15365,21753,1.0
20334,21752,1.0
21432,21635,1.0
15436,21611,1.0
8781,21757,1.0
20505,21690,1.0
19383,21640,1.0
20260,21886,1.0
12378,21609,1.0
16249,21635,1.0
15334,21618,1.0
8760,21609,1.0
19168,21840,1.0
11909,21635,1.0
13837,21898,1.0
8904,21898,1.0
21287,21886,1.0
15523,21820,1.0
12566,21875,1.0
19204,21753,1.0
20769,21666,1.0
7715,21688,1.0
7794,21635,1.0
10188,21635,1.0
12324,21886,1.0
16164,21886,1.0
9553,21820,1.0
13566,21914,1.0
8256,21896,1.0
18951,21925,1.0
20210,21681,1.0
18475,21666,1.0
13959,21885,1.0
7661,21784,1.0
9185,21666,1.0
11125,21871,1.0
17016,21898,1.0
15036,21615,1.0
20426,21835,1.0
12410,21623,1.0
17598,21609,1.0
7398,21842,1.0
14584,21758,1.0
8784,21666,1.0
9199,21815,1.0
20685,21913,1.0
8355,21764,1.0
18383,21635,1.0
13063,21913,1.0
21090,21733,1.0
10652,21666,1.0
20547,21688,1.0
19622,21630,1.0
12086,21820,1.0
19299,21913,1.0
8568,21778,1.0
11844,21666,1.0
18890,21615,1.0
16300,21885,1.0
17203,21720,1.0
17691,21763,1.0
20458,21690,1.0
18641,21653,1.0
14521,21720,1.0
16246,21666,1.0
8580,21842,1.0
19801,21779,1.0
15193,21899,1.0
7807,21630,1.0
14560,21778,1.0
18490,21733,1.0
8015,21666,1.0
20687,21666,1.0
8041,21933,1.0
14882,21688,1.0
7678,21640,1.0
17813,21933,1.0
21184,21666,1.0
9933,21676,1.0
8484,21695,1.0
13252,21933,1.0
10619,21896,1.0
14804,21778,1.0
15124,21727,1.0
18723,21933,1.0
19000,21783,1.0
10655,21786,1.0
7989,21842,1.0
6975,21862,1.0
7535,21879,1.0
9827,21630,1.0
8375,21914,1.0
16655,21933,1.0
15552,21633,1.0
12357,21739,1.0
16176,21899,1.0
11944,21922,1.0
8918,21710,1.0
14070,21899,1.0
13853,21934,1.0
14534,21934,1.0
14420,21769,1.0
7276,21720,1.0
18098,21872,1.0
7149,21678,1.0
20127,21934,1.0
15982,21724,1.0
10496,21815,1.0
10254,21666,1.0
15446,21702,1.0
18670,21724,1.0
10851,21727,1.0
11539,21842,1.0
12334,21783,1.0
8103,21635,1.0
9245,21635,1.0
13531,21783,1.0
12164,21783,1.0
10231,21666,1.0
13300,21753,1.0
12438,21688,1.0
12337,21708,1.0
10787,21727,1.0
20866,21642,1.0
16989,21918,1.0
16673,21798,1.0
17446,21604,1.0
13448,21727,1.0
15689,21684,1.0
12562,21688,1.0
13295,21898,1.0
18133,21898,1.0
12701,21779,1.0
13003,21771,1.0
16601,21688,1.0
9981,21630,1.0
20460,21733,1.0
14529,21797,1.0
18382,21898,1.0
15173,21711,1.0
13734,21787,1.0
10129,21842,1.0
15234,21835,1.0
13679,21918,1.0
11847,21642,1.0
12173,21918,1.0
7891,21697,1.0
18268,21797,1.0
19560,21892,1.0
12968,21666,1.0
13867,21783,1.0
14203,21668,1.0
15378,21763,1.0
12506,21733,1.0
16622,21890,1.0
7799,21783,1.0
14589,21749,1.0
15613,21918,1.0
7893,21720,1.0
14460,21678,1.0
16175,21680,1.0
14980,21671,1.0
20756,21674,1.0
11189,21797,1.0
14753,21645,1.0
10111,21869,1.0
7047,21667,1.0
8610,21918,1.0
8913,21734,1.0
7904,21645,1.0
19149,21815,1.0
7845,21642,1.0
16490,21783,1.0
16789,21621,1.0
8237,21621,1.0
11947,21733,1.0
7608,21918,1.0
8174,21739,1.0
13592,21621,1.0
10288,21703,1.0
17440,21638,1.0
7222,21840,1.0
14053,21783,1.0
16161,21744,1.0
20208,21752,1.0
21556,21763,1.0
14476,21750,1.0
18594,21621,1.0
16066,21763,1.0
20138,21840,1.0
12055,21918,1.0
20377,21772,1.0
14054,21688,1.0
16973,21782,1.0
11417,21718,1.0
15642,21645,1.0
7156,21812,1.0
13092,21671,1.0
10709,21688,1.0
10972,21621,1.0
7046,21867,1.0
11190,21688,1.0
16556,21898,1.0
18471,21779,1.0
15391,21918,1.0
8462,21739,1.0
11293,21933,1.0
15740,21705,1.0
21311,21934,1.0
7002,21630,1.0
16189,21630,1.0
16896,21862,1.0
8444,21933,1.0
14343,21630,1.0
11710,21630,1.0
11961,21944,1.0
13500,21907,1.0
11720,21666,1.0
13310,21918,1.0
12828,21944,1.0
13334,21630,1.0
8854,21635,1.0
20270,21635,1.0
15720,21886,1.0
7309,21666,1.0
19177,21641,1.0
9232,21886,1.0
17936,21914,1.0
18835,21609,1.0
10332,21914,1.0
17638,21753,1.0
8290,21733,1.0
7062,21779,1.0
18880,21888,1.0
11113,21739,1.0
12727,21753,1.0
13991,21753,1.0
11133,21753,1.0
16619,21753,1.0
19110,21826,1.0
17889,21753,1.0
18749,21811,1.0
12502,21715,1.0
8816,21836,1.0
9425,21688,1.0
9201,21645,1.0
14857,21944,1.0
18376,21914,1.0
7864,21914,1.0
8460,21856,1.0
10857,21674,1.0
19355,21931,1.0
15379,21783,1.0
15476,21783,1.0
19940,21635,1.0
17588,21820,1.0
8157,21820,1.0
7351,21918,1.0
18195,21886,1.0
7705,21835,1.0
8289,21737,1.0
14806,21652,1.0
7070,21944,1.0
9210,21779,1.0
14998,21898,1.0
10457,21666,1.0
12527,21835,1.0
9448,21783,1.0
7907,21630,1.0
17097,21635,1.0
17794,21635,1.0
9868,21635,1.0
19432,21672,1.0
12493,21898,1.0
18062,21783,1.0
9996,21753,1.0
13379,21734,1.0
14821,21898,1.0
14079,21688,1.0
16734,21635,1.0
21408,21835,1.0
19783,21635,1.0
17083,21892,1.0
17963,21688,1.0
8847,21898,1.0
11243,21898,1.0
19333,21898,1.0
10902,21627,1.0
13015,21686,1.0
7769,21713,1.0
8955,21609,1.0
19610,21727,1.0
19389,21733,1.0
7937,21922,1.0
13253,21922,1.0
14297,21720,1.0
14508,21886,1.0
11210,21739,1.0
14681,21783,1.0
19538,21855,1.0
8399,21630,1.0
12774,21737,1.0
9141,21748,1.0
11589,21718,1.0
20776,21635,1.0
17253,21653,1.0
18941,21748,1.0
19065,21835,1.0
12749,21635,1.0
7750,21783,1.0
16014,21640,1.0
9173,21879,1.0
8869,21715,1.0
8801,21635,1.0
12318,21640,1.0
20353,21739,1.0
14329,21710,1.0
15000,21739,1.0
15337,21931,1.0
19329,21871,1.0
19260,21879,1.0
16748,21820,1.0
9650,21797,1.0
10340,21666,1.0
21572,21748,1.0
19588,21779,1.0
12478,21833,1.0
9495,21899,1.0
9498,21733,1.0
17492,21669,1.0
21038,21857,1.0
14721,21645,1.0
7751,21666,1.0
16013,21928,1.0
8694,21898,1.0
9678,21898,1.0
20256,21898,1.0
16238,21820,1.0
19258,21914,1.0
13829,21841,1.0
10722,21705,1.0
13841,21739,1.0
18341,21720,1.0
15859,21662,1.0
18035,21666,1.0
20809,21703,1.0
15983,21630,1.0
19239,21688,1.0
13820,21697,1.0
10985,21752,1.0
8230,21720,1.0
20761,21659,1.0
11581,21635,1.0
13236,21944,1.0
16519,21891,1.0
11541,21798,1.0
7468,21625,1.0
8107,21805,1.0
11681,21667,1.0
11368,21857,1.0
11053,21823,1.0
8763,21783,1.0
18637,21678,1.0
9993,21739,1.0
18822,21862,1.0
8473,21720,1.0
7580,21842,1.0
